날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2020-01-02,1204.29,1204.97,1179.25,1179.51,3510155,247745499560,98635670812480
2020-01-03,1186.41,1192.02,1173.58,1183.3,6284744,296839415410,98859841015640
2020-01-06,1178.85,1185.32,1161.62,1163.81,4915535,302088272340,97287917329450
2020-01-07,1167.2,1174.41,1162.77,1171.27,4361294,283619064430,97920918560570
2020-01-08,1147.83,1150.02,1120.63,1123.21,7441672,460620140044,93985426046930
2020-01-09,1140.04,1144.08,1129.18,1136.4,8078449,416671385843,95017111674950
2020-01-10,1133.83,1152.91,1126.03,1151.43,11243530,606479371778,96363482205190
2020-01-13,1152.47,1161.35,1149.02,1159.36,5865883,397513432010,97053773331800
2020-01-14,1166.14,1176.79,1164.15,1170.69,5837676,451852194784,97935304977070
2020-01-15,1167.86,1168.61,1158.21,1161.25,3800678,309163751390,97122097219160
2020-01-16,1159.1,1159.1,1143.52,1153.23,4795881,342502763444,96486773997440
2020-01-17,1153.75,1161.86,1152.67,1157.49,4554824,333804009097,96870850563680
2020-01-20,1164.89,1182.29,1163.91,1176.35,5350052,447721856114,98529818613700
2020-01-21,1181.05,1182.42,1163.42,1163.63,3937207,318341643155,97403612388920
2020-01-22,1170.27,1173.17,1159.65,1171.77,5848209,285796742730,98097352164780
2020-01-23,1161.94,1167.96,1148.18,1152.5,5346412,352315990340,96562149270510
2020-01-28,1120.69,1125.9,1100.29,1103.58,7875457,491718311500,92454342760050
2020-01-29,1108.84,1112.74,1094.09,1107.19,5971759,343369998250,92777635301410
2020-01-30,1111.5,1126.93,1106.49,1112.28,6888028,520283897780,93303528012690
2020-01-31,1118.48,1120.5,1098.19,1099.07,7027316,542877212010,92158932941430
2020-02-03,1080.12,1096.51,1069.39,1090.52,6568215,517182287090,91640711636380
2020-02-04,1102.42,1132.02,1101.64,1126.01,7641793,760133281055,94717559420770
2020-02-05,1141.18,1154.08,1134.36,1145.13,9709859,881724298390,96242493794610
2020-02-06,1149.25,1176.99,1146.47,1174.95,8423535,783171797800,98650502195040
2020-02-07,1166.38,1173.06,1158.41,1165.93,4734905,410624649386,98000425711600
2020-02-10,1154.05,1169.8,1149.25,1167.08,4132063,353418029950,98049193905940
2020-02-11,1177.28,1205.28,1177.0,1205.01,8731124,813855105870,101279530276970
2020-02-12,1198.42,1203.29,1188.04,1197.84,19411057,642433674860,100579963510810
2020-02-13,1197.65,1208.12,1187.98,1190.07,9604057,520932292152,100078085888930
2020-02-14,1194.71,1196.28,1184.03,1185.43,6314550,369815398430,99701575489910
2020-02-17,1177.33,1191.8,1169.74,1187.75,5670479,517647335810,100002471623510
2020-02-18,1179.59,1193.83,1174.52,1179.09,5430301,405269822460,99307008481540
2020-02-19,1186.71,1188.63,1159.78,1162.34,5536628,548664374613,97808229878400
2020-02-20,1168.7,1175.17,1154.74,1163.58,7543918,506280762150,98025708259810
2020-02-21,1143.93,1155.4,1136.59,1137.74,8665213,472760742120,95780389406440
2020-02-24,1112.76,1115.43,1090.12,1090.12,7388607,504292894540,91897141562360
2020-02-25,1087.9,1099.25,1081.5,1096.15,6429928,486786961140,92461661122340
2020-02-26,1076.9,1093.95,1072.8,1085.32,5881772,436521242232,91582970314940
2020-02-27,1085.72,1089.48,1061.95,1067.64,6484952,424506593350,90085661525010
2020-02-28,1042.98,1048.82,1022.67,1025.89,8627151,618318557737,86560389433410
2020-03-02,1030.67,1044.88,1016.3,1032.92,5776771,460679585480,87180085033100
2020-03-03,1059.47,1068.34,1041.42,1044.63,6092532,494591550540,88277307759960
2020-03-04,1043.57,1063.09,1043.57,1057.68,6321462,518499451430,89322949083400
2020-03-05,1074.48,1080.78,1066.1,1072.79,5907731,564678371140,90733087178740
2020-03-06,1056.62,1060.07,1036.75,1043.53,5462294,454808645520,88265863889520
2020-03-09,999.45,1006.57,980.83,982.11,9963485,731988384415,83018864994260
2020-03-10,976.27,997.48,974.24,990.71,8720368,692791679002,83796759495140
2020-03-11,999.13,1002.54,964.56,973.37,7023382,508032914700,82407768862570
2020-03-12,964.03,970.3,900.97,913.22,11575330,811955993160,77352055398120
2020-03-13,855.01,886.89,821.27,876.15,14709380,782888152170,74479784780790
2020-03-16,889.03,889.03,825.91,826.29,8511903,567518086550,70150269508860
2020-03-17,784.47,826.48,783.39,811.19,9330566,582473549730,68886722555090
2020-03-18,813.77,817.2,754.38,754.61,9523093,638946398680,64138200819390
2020-03-19,769.53,770.34,635.41,638.58,17812435,912904073745,54276067547520
2020-03-20,674.47,729.19,653.32,729.19,13748666,749103846280,62047347020100
2020-03-23,686.27,712.6,663.73,683.2,10665513,586083421875,58224832629725
2020-03-24,711.87,760.86,697.1,757.26,11237331,695101788910,64361816641950
2020-03-25,794.51,855.53,787.13,844.03,15217949,900441486870,71503616947900
2020-03-26,846.76,872.61,816.15,832.41,16399762,1036458063820,70501418598440
2020-03-27,871.26,875.58,826.23,854.86,12639661,816547017050,72325871791430
2020-03-30,822.27,866.5,816.25,857.23,9939683,651700162350,72480255433200
2020-03-31,870.25,878.94,853.6,877.32,12460984,664380737160,74170576755600
2020-04-01,866.32,884.87,839.21,841.71,11023529,653526990855,71203936739890
2020-04-02,849.09,881.96,821.89,873.6,12775733,831384040930,73940121381590
2020-04-03,908.94,911.7,850.09,861.98,12354109,850182303710,72902879144740
2020-04-06,873.45,897.22,865.42,892.76,9642636,617852603670,75498848671570
2020-04-07,907.46,915.45,888.59,906.89,11726891,691972227210,76804458722000
2020-04-08,897.06,926.69,895.22,906.35,11409588,643166050840,76830341029360
2020-04-09,927.87,931.65,912.87,931.65,9329832,595991585960,78972409079920
2020-04-10,921.55,947.05,919.29,945.55,10176851,608066816290,80046388800800
2020-04-13,939.4,945.73,922.72,923.75,14514756,708828198890,78140088333630
2020-04-14,940.66,954.13,936.44,946.3,11109039,641817635010,80169601985410
2020-04-16,937.17,963.39,931.53,958.19,8187327,561559136740,81310166904350
2020-04-17,977.09,1003.9,977.09,988.93,10310101,690643294650,83993274899470
2020-04-20,986.61,1006.77,982.53,984.27,8479463,573736831090,83504111627720
2020-04-21,975.32,994.83,958.41,980.83,12300483,787073755110,83322426366530
2020-04-22,963.16,978.09,952.24,977.7,7404097,482960820650,83116336792420
2020-04-23,984.14,1002.7,977.35,1001.19,8661922,600203618060,85153844076260
2020-04-24,999.32,1000.12,976.85,980.16,7434883,483516106130,83359627265890
2020-04-27,985.72,1003.72,983.94,996.78,6195682,462900615640,84733214364980
2020-04-28,1004.87,1005.34,988.71,1002.36,8179362,651917369860,85264187533500
2020-04-29,1009.57,1027.28,1008.86,1018.26,8010536,621893863836,86622145487760
2020-05-04,991.55,993.61,974.73,976.28,8096191,652527284820,83025251881670
2020-05-06,993.93,999.21,980.68,989.84,8305396,599248663320,84105262938760
2020-05-07,982.03,991.38,976.64,986.19,6060973,431834413400,83721057645850
2020-05-08,987.87,996.19,985.02,988.73,6450372,504923512540,83865766129870
2020-05-11,995.53,997.96,975.16,975.57,14373516,683530867650,82687039402990
2020-05-12,976.74,977.78,952.93,960.65,13710971,628257952832,81365926475500
2020-05-13,946.56,978.42,946.27,978.35,9396079,632846262150,82986986695980
2020-05-14,968.31,972.46,957.33,965.98,10903970,731878312550,81777040053550
2020-05-15,981.31,981.53,968.29,973.2,11301148,974785679340,82400522412830
2020-05-18,983.85,1004.38,969.75,1003.22,8863076,713361683830,84941736194320
2020-05-19,1036.77,1054.15,1025.62,1026.27,15304096,1202584338440,86871733810950
2020-05-20,1026.44,1046.42,1024.29,1045.77,11824913,744152938110,88530689305540
2020-05-21,1063.56,1091.88,1061.42,1072.76,18434679,1254424058480,90745869850820
2020-05-22,1075.59,1079.12,1045.71,1055.36,11826041,679436361160,89365240116980
2020-05-25,1062.71,1086.37,1054.58,1086.07,11365734,655005979880,91979567735340
2020-05-26,1099.07,1153.39,1096.3,1151.37,16513614,1310944665614,97317272313640
2020-05-27,1157.23,1170.83,1131.64,1136.31,14302099,1104527122570,95857381823990
2020-05-28,1139.43,1146.05,1097.08,1110.25,13052238,999406488330,93734535917090
2020-05-29,1101.73,1114.36,1094.82,1101.56,10596218,755369855300,93067619950410
2020-06-01,1116.26,1130.5,1114.91,1125.55,8020297,550902347300,95009418963030
2020-06-02,1126.06,1136.12,1119.6,1130.52,9605821,548385843760,95386073834080
2020-06-03,1148.7,1151.74,1139.9,1150.4,11355723,820044298940,97072205439900
2020-06-04,1164.33,1171.16,1146.68,1154.97,13000895,1006747717950,97580484364140
2020-06-05,1158.37,1186.14,1154.07,1185.58,14969398,962909233950,100296877162600
2020-06-08,1214.7,1216.45,1185.43,1189.96,12392256,879046878100,100634721418690
2020-06-09,1197.59,1212.89,1176.55,1189.32,30253232,1325519912480,100409575972270
2020-06-10,1191.04,1201.29,1181.13,1194.05,15498757,864635874290,100846479724060
2020-06-11,1191.84,1209.6,1174.76,1191.79,15189624,1308962974730,100965105212980
2020-06-12,1130.44,1193.02,1128.08,1190.0,15511911,1353774548018,101595781279810
2020-06-15,1189.91,1223.99,1146.37,1152.74,22434779,2541468201960,98075262739720
2020-06-16,1209.34,1236.26,1187.06,1231.96,15614578,1727143691806,105461817467630
2020-06-17,1238.22,1270.43,1225.88,1255.17,14618876,1815276190480,107173948177870
2020-06-18,1253.95,1260.79,1234.42,1246.08,9516130,918244287510,106424811757280
2020-06-19,1269.08,1270.24,1231.24,1254.19,11186136,1255467532187,107581060490700
2020-06-22,1253.82,1263.48,1244.46,1248.96,8837242,866665618310,106972275149940
2020-06-23,1269.35,1273.95,1234.0,1265.16,13736669,1225206695252,108114113929550
2020-06-24,1271.03,1273.82,1255.98,1265.05,13720897,1764576554310,108171655295110
2020-06-25,1249.04,1263.23,1237.72,1243.55,14523972,1386057685610,106040384447990
2020-06-26,1264.59,1265.67,1235.03,1254.21,10336024,1023822455040,106868791409900
2020-06-29,1234.65,1249.07,1226.1,1231.73,15429790,1581410307730,104879503257990
2020-06-30,1252.17,1255.84,1234.02,1236.01,11458616,1147688017170,105223233499700
2020-07-01,1249.2,1259.53,1238.73,1241.59,21053935,1740155216500,105651007669940
2020-07-02,1254.5,1260.77,1213.13,1233.45,16005235,1755236827510,105113815072090
2020-07-03,1245.81,1248.33,1228.46,1236.37,9062243,967620463850,105601755364750
2020-07-06,1241.57,1247.18,1221.11,1243.39,11748984,1052964808610,105963778701990
2020-07-07,1258.15,1271.36,1242.53,1243.55,10058738,1069161436590,106239917551740
2020-07-08,1246.17,1252.41,1233.9,1240.47,11268745,1045518113100,105768520427700
2020-07-09,1245.81,1269.63,1240.29,1259.33,24458572,1498644415990,107691567349120
2020-07-10,1260.09,1262.1,1232.1,1235.81,13148413,1060521572190,105660968267170
2020-07-13,1250.27,1270.86,1245.73,1268.16,13452321,835499829870,108522760043520
2020-07-14,1254.62,1263.23,1236.19,1243.26,14137516,1027165101100,106310187354890
2020-07-15,1260.49,1269.35,1246.42,1257.4,12045802,959045914150,107726463600670
2020-07-16,1263.49,1269.67,1243.91,1249.67,12264778,836247453900,106488574877770
2020-07-17,1250.02,1257.14,1231.91,1240.44,7699068,659615041850,105605680258270
2020-07-20,1239.45,1240.37,1220.57,1236.5,10476388,729588797990,105061636614580
2020-07-21,1247.11,1276.49,1247.11,1269.19,19647466,1269084832680,107782640318940
2020-07-22,1274.71,1310.66,1268.84,1298.29,24292302,1877191035790,109538182409420
2020-07-23,1302.56,1308.58,1278.36,1285.59,22374122,2390676837680,108759182676240
2020-07-24,1262.1,1284.46,1258.82,1273.25,24120843,2959291771990,107334396569530
2020-07-27,1274.74,1303.91,1274.48,1283.27,15866964,2233586783010,108015185883840
2020-07-28,1289.33,1296.04,1278.26,1286.75,11458533,1066533050230,108648220099560
2020-07-29,1277.87,1292.45,1270.59,1278.53,18690971,1088873192730,108037467294000
2020-07-30,1283.41,1289.78,1271.64,1279.51,11612820,829695325291,108222131410280
2020-07-31,1288.04,1307.31,1269.56,1289.7,9361815,1255815094780,110070031277540
2020-08-03,1299.83,1339.02,1291.72,1329.45,11444543,1688752910630,114820200292240
2020-08-04,1355.26,1362.8,1349.31,1362.11,15661074,1515158731020,117288512693040
2020-08-05,1370.39,1440.84,1358.06,1440.82,21421766,2510027987163,123409086147930
2020-08-06,1438.86,1480.51,1431.29,1461.93,47123326,2165191402480,125185107420670
