시가,고가,저가,종가,거래량,거래대금,상장시가총액
1800.36,1922.56,1800.36,1917.85,24267136,2829681628428,162209050195100
1915.03,1969.24,1901.84,1964.55,28034709,2611967097550,165228329219750
1981.43,2053.36,1968.96,2001.25,28661768,3682286276400,167821184001150
2019.54,2110.92,2019.05,2096.88,35785852,3296420413508,177201194974700
2100.17,2169.79,2099.69,2147.41,23861158,3420203103364,181922843613700
2159.99,2242.02,2081.49,2135.37,29435741,4193680884796,180904183241000
2131.06,2142.39,2039.7,2098.5,20675741,2972026462161,177289531482200
2114.13,2165.36,2108.65,2134.59,15538189,2221059757250,181326642431400
2136.22,2175.0,2127.86,2135.24,13280460,2365415530250,181898294196500
2134.75,2172.51,2098.05,2099.34,15222132,1927688395450,178169370372250
2097.84,2103.57,2031.42,2051.73,15636044,1762260927289,174111265155350
2052.53,2136.93,2050.39,2135.24,20686304,1877718089450,180699154445600
2141.1,2185.24,2111.64,2181.89,20380089,2258278033406,183831797889800
2191.63,2237.78,2190.9,2212.17,21635425,2280984152900,185351505509600
2214.91,2236.7,2194.85,2194.85,14566253,1946743358703,183486023020400
2196.85,2247.44,2196.85,2246.67,12454627,1705110632400,187626308795550
2259.19,2266.57,2208.15,2225.37,15497414,2485673053300,184567004727350
2225.12,2255.53,2174.91,2194.11,12057062,2388879625300,181534081220100
2193.36,2193.36,2131.63,2177.64,15928115,2816289297999,180814813899850
2173.76,2218.15,2095.22,2121.47,18353564,3119922584100,176276081057400
2120.32,2232.9,2094.46,2232.82,14073920,2543943948258,184820506391800
2250.77,2293.91,2234.05,2265.06,19312700,2748833668433,187589850864650
2276.6,2297.07,2258.58,2290.9,15073599,2600914680895,190723797713650
2293.17,2295.31,2251.57,2269.94,11888822,1891467065250,189540742194100
2282.62,2320.84,2249.79,2291.85,15748547,2861441233550,191961797806650
2291.85,2294.42,2229.16,2243.91,14869253,2403043073850,187491124933800
2249.1,2294.56,2233.81,2233.93,11842131,1899896165900,186200495517950
2239.79,2276.29,2208.03,2268.06,12764592,2560818351200,187979876309150
2268.87,2282.46,2237.75,2268.89,14370526,2623554852400,189480506360050
2267.51,2285.04,2249.5,2276.31,10061390,1404627417850,189438720516750
2275.19,2279.87,2244.76,2262.85,11203695,1857571805600,187762024953100
2264.17,2276.75,2224.39,2224.39,11351909,1719975638400,184254851651150
2225.92,2245.55,2163.42,2216.56,13652142,1677538680200,183769043389400
2217.32,2227.42,2157.45,2164.56,11152271,1727851595807,179619157302800
2163.4,2176.7,2126.4,2153.65,12056017,1943966957000,177961898689400
2153.2,2169.2,2053.38,2054.22,13224810,1952074722750,170234923794850
2061.53,2133.09,2061.53,2128.45,11012133,1633812772600,176324286965150
2124.73,2124.73,2020.37,2049.42,12977852,1933511894616,168615815567700
2056.75,2137.51,2056.75,2086.95,10045937,1723208529050,173717688727800
2078.72,2099.47,2058.06,2098.48,7117876,1283465531230,173673368303200
2082.31,2106.18,2053.38,2074.07,9365428,1459325511116,171905328700200
2063.22,2083.2,2026.3,2067.18,10212097,1748019990146,172990634487820
2073.46,2084.76,2002.57,2003.16,9916427,1415948770650,168497432738530
2007.37,2010.99,1917.93,1956.35,10942462,1576100795190,164429990714010
1962.88,2010.02,1936.92,1940.89,8519198,1251553448630,164557825119300
1949.68,2019.41,1948.02,2008.89,9662787,1585457557220,170885310132850
2027.49,2051.7,2026.14,2045.52,10128298,1300008833950,173275617630000
2039.62,2042.52,2016.18,2016.78,7716652,1207991472050,172346694790900
2001.47,2001.55,1955.17,1969.54,9113120,1846441543900,166024263274450
1970.3,1970.3,1925.16,1954.66,7707905,1556775349425,163506072131600
1966.61,1988.57,1950.88,1952.48,8191337,1418340015400,165015639990250
1944.86,1944.86,1908.58,1933.39,8466154,1458151892100,162548451066400
1929.47,1939.13,1895.44,1911.78,7294842,1336872756530,160238135971250
1916.45,1934.29,1872.51,1877.63,8691430,1394680430348,156662851181200
