시가,고가,저가,종가,거래량,거래대금,상장시가총액
334.62,334.62,331.0,333.6,10712164,206764159220,66579572154980
330.79,330.79,323.32,323.67,15338244,317906966850,64534634347970
321.88,323.9,319.95,322.21,8930803,198646527270,64276321209110
322.04,324.97,319.44,320.85,8725955,203564836860,64026256706400
321.36,324.17,320.46,321.28,7953202,180559771010,64211363311710
324.98,324.98,318.84,319.06,9121283,164187130896,63694052648780
320.27,321.99,316.89,317.68,8113883,165411693270,63404742085610
320.05,321.23,312.83,312.83,10877118,210090935290,62286831798610
313.69,316.42,312.54,313.94,7921174,162587019840,62558636386120
314.17,318.82,313.23,318.78,7091184,153742378660,63455826695730
317.55,318.16,311.79,312.29,6856088,133593397720,62110744389620
312.18,312.63,301.05,301.35,11814336,243960290567,59871480648610
302.8,308.7,302.42,304.75,8755904,185193163157,60539569841940
307.43,315.18,307.43,314.89,11187165,213826344020,62535403938680
316.41,318.05,313.66,315.47,9013364,182909273890,62525855758330
318.66,319.58,314.55,316.1,8351158,182608875080,62662904635100
315.67,315.67,310.37,312.61,7848927,174264029110,61953689227440
313.04,318.01,310.56,317.75,10922893,215018889010,63003081171600
317.83,322.88,316.35,320.16,11433197,199143895010,63352387562080
321.62,321.66,316.77,316.77,9971924,200797407250,62739878158980
319.94,320.8,311.5,311.67,11334790,208813585200,61728548316640
310.91,318.45,310.91,318.45,15940014,350144435200,62834926238200
316.22,317.13,312.68,315.41,14498300,310283313610,62286695159870
316.82,323.9,315.58,323.19,20455910,358770096830,63699819389450
323.37,323.87,316.87,321.24,21410599,328888871310,63585469242920
320.31,322.61,318.28,319.38,13754991,235367747780,63107182460250
321.43,324.13,320.13,321.38,11238596,226277647805,63420526185230
323.14,325.13,322.17,322.72,12882212,288984545220,63492985497200
325.38,326.1,320.59,322.17,11549303,284269597520,63381437469580
317.54,320.17,316.56,318.46,9877074,241129645770,62705053242360
322.07,323.45,318.22,319.55,9447589,203904839150,62862103941440
322.93,324.77,321.34,322.92,9702139,207912900227,63428243110040
323.73,326.76,322.67,326.13,10399164,248150236120,64024776423500
326.33,327.4,322.63,323.46,9985278,281905734760,63469802632590
323.54,328.6,322.61,326.28,16250369,370877495900,63962766946780
327.66,329.46,325.03,329.4,29944705,797920474110,64323236125860
329.74,331.02,327.12,328.07,18329191,469571096100,64204646424480
329.74,330.96,326.69,327.6,15254941,374256225306,64198059569060
328.68,331.55,324.36,328.25,20216156,451674114960,64698594747020
329.43,336.57,325.0,334.39,26572213,556581756840,65963876040080
333.21,334.5,329.89,330.71,19166299,516474755297,65175302373140
334.44,335.16,323.73,324.06,18101600,408502223890,63809087630190
324.27,328.54,322.56,322.85,12073548,264239955770,63455483772440
322.66,327.72,321.76,326.45,11011657,257292601180,63995028623240
327.36,329.25,324.74,326.19,10817799,334289281234,64070739945840
328.72,330.6,324.78,328.33,14130845,298801749100,64418895627110
327.77,341.22,327.39,337.15,39540911,709380073590,66208192908630
339.77,339.77,332.29,337.7,20587722,395704304890,66240893838260
340.53,345.3,338.99,342.33,28285170,643791828950,67031637815290
344.27,365.44,344.24,362.43,93324053,1516904639680,71194810351960
366.55,372.03,359.85,360.92,52312615,1108848396310,70815753622100
365.42,370.13,361.73,368.88,27864589,685948793204,72906741027470
369.25,372.11,361.21,363.1,33133911,704296132715,71696856839550
364.9,369.98,364.21,368.07,22331931,529022017520,72944476943600
370.77,374.64,366.71,374.02,21034523,491193822110,74140507869180
375.71,378.05,372.23,374.77,21990293,476702233466,74204466786330
375.6,375.64,367.75,369.04,17940467,406033394980,73135063975330
372.37,373.31,367.42,371.67,18270510,458602786199,73380189288520
367.85,371.36,365.43,370.53,23987032,592142318030,72978027613250
371.21,376.25,367.87,368.05,18666047,483026379140,72381699304750
370.01,372.51,366.0,366.74,25607033,917519627600,72167471128860
369.18,371.47,362.72,370.86,18570467,624228763780,73080530191350
367.93,373.06,364.21,369.82,23448725,616653118410,73144774434530
367.68,370.45,364.28,366.98,18405990,469984292160,72442023432190
370.96,371.81,365.87,371.12,17776063,539335092800,72868678913930
365.98,372.47,365.9,369.53,13645707,413926305740,72783520288350
368.9,370.1,364.0,366.42,11377825,370073094600,72056803897450
370.17,380.47,370.07,373.63,30084161,1003339836170,73306980346010
367.74,371.55,363.82,368.09,24622565,784550032690,72178918097150
371.51,385.06,369.12,377.06,24831397,876759643180,74245426118460
373.86,378.62,369.76,377.36,23090510,700415055604,74460791705330
373.28,375.06,356.29,359.26,20948952,727081865690,70845049278000
361.54,364.35,356.99,357.44,18797513,649796485190,70470597236160
362.79,384.64,362.02,382.42,56913016,1215999920980,75752104693610
381.14,384.51,368.2,383.2,40779108,1182738669100,75964873705990
387.96,390.25,377.96,383.91,36077953,873755823270,75943462547430
385.02,396.56,384.87,393.31,35752698,1309199858480,78163282113850
397.83,402.02,394.25,400.82,28874312,1023321390750,79628956215830
396.25,402.83,391.29,391.29,24286266,831367192850,77543148139370
394.3,402.92,393.66,398.47,31631348,912539612330,79429425717070
401.88,403.26,397.93,403.04,24270884,658550289050,80433904824210
402.17,408.36,398.68,399.82,22661142,672420560870,79608785571410
399.05,402.23,393.87,394.38,14193907,433223140240,78431061700360
397.33,397.66,390.73,391.06,11941656,385603047135,77697829077450
394.99,406.66,393.14,406.04,19554311,675491018300,80841645284000
404.91,409.37,402.4,407.33,16987335,497663452760,80933074831030
408.42,415.5,408.42,410.98,25093864,628532776680,81460817445510
414.41,415.95,406.08,407.78,18661415,516275305890,80814379949850
411.57,418.58,409.15,417.55,26907608,719555779460,83086175727590
417.02,418.66,412.79,416.47,15188680,431104442270,82699644400350
419.99,424.2,414.86,422.28,22751879,673053339420,83701887996640
418.6,418.84,409.53,411.33,22422221,1065211488070,81040244161330
413.56,416.0,408.89,410.07,15078462,529511064010,80633264144400
409.48,412.78,407.05,408.16,12730279,457722232820,80469825759860
409.1,411.84,403.5,404.76,23626033,617934168250,79822346286500
405.24,412.42,403.26,408.81,15977440,563277938400,80869706496690
404.86,422.03,404.21,421.04,15675585,723023342760,83153809307880
432.85,442.94,426.35,437.01,82300548,2125112832090,85671114157490
439.76,441.78,436.08,440.91,50355016,1305775062050,86396290005610
436.74,440.33,429.24,430.3,35065115,995230468099,84504688367980
427.9,430.5,421.1,423.07,23163951,675983548650,83142604352480
425.75,428.14,418.18,425.63,38719640,1595428937870,83438122637630
426.8,434.57,422.97,428.75,34475248,792711690990,84187918706420
422.72,425.75,416.05,418.51,36983372,835155920220,82236145949220
417.29,419.85,410.39,411.15,21013914,558984384980,80750423417820
414.74,418.95,412.06,413.36,20655981,668227214230,81363269850120
411.73,421.0,411.1,418.23,16457395,561478448730,82179553253630
423.57,424.22,412.86,413.03,17633833,497858302300,81324375723610
413.21,418.41,409.23,418.41,25317187,686020539090,82556509069600
418.81,424.2,417.73,417.73,27907456,755822327410,82546189617590
417.92,427.49,417.08,426.31,23803967,892448093300,89802077241160
426.37,427.72,421.23,426.03,26102464,1006955523860,89767898962320
427.81,427.92,423.48,425.19,17959299,635695882720,89541938168030
429.41,438.18,427.87,437.75,37700308,1168099324240,91892644586170
437.58,440.28,433.67,436.72,19348356,637045858740,91619287996810
438.86,443.17,436.24,443.17,25318766,1036926049890,93172394897200
442.54,446.48,439.4,441.67,18566956,675627854398,93062106863510
442.87,449.1,439.33,441.29,28738825,701643119601,92838534548250
440.59,444.63,437.71,441.28,18645639,578194005550,92824792761640
437.29,446.04,433.38,445.23,20092932,689880706840,93574826578110
443.92,448.2,440.58,447.48,15094419,513953350800,94115389320920
446.75,450.96,441.36,445.58,22427102,566522484490,93682032055030
443.42,445.45,436.42,442.01,16640734,678306987100,92937351962890
443.89,444.67,434.11,439.78,13723499,467955466638,92438227271890
441.09,444.48,434.99,443.27,11390183,430403393470,93079966328620
441.71,444.98,437.63,440.27,12728316,403815941430,92319783841440
441.41,457.95,441.38,453.66,28592605,777527157370,94884896761840
455.73,461.62,454.03,459.69,37441215,942968680750,95979767510400
459.38,470.35,458.05,466.65,34171746,1202902243430,97353810902080
468.94,476.65,466.27,468.87,21880859,928744840840,98091929573180
466.5,474.8,462.13,469.12,56402333,2951470061030,98868545844050
474.73,477.74,471.72,473.65,50373897,1960448968140,99281164209440
475.77,479.32,470.06,477.79,48189624,1592314189894,100167870408490
480.29,492.35,478.74,481.21,76317244,1861198757134,100748801736670
477.82,497.13,469.53,472.15,98985930,2459939601300,98675003927900
471.41,471.79,461.28,463.65,34888851,1009631881380,97100306168650
465.2,473.51,462.0,467.37,32548289,1012935921480,97807800023870
470.05,488.81,467.92,485.8,52059437,1934953785550,101612130266220
485.36,492.36,481.53,487.73,31842895,1349371982450,101740653249090
