날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,983.27,984.97,960.06,962.78,20126170,480485647655,112778785657550
2019-01-03,968.49,971.0,954.66,954.66,27582332,650533292996,111773012683670
2019-01-04,954.15,970.2,949.77,967.37,24644132,515765676427,113272300320895
2019-01-07,980.68,988.87,975.45,976.76,24938100,511703862483,114301036563630
2019-01-08,985.39,985.43,972.85,972.96,28127360,541142622300,114018117550395
2019-01-09,977.03,995.93,977.03,990.56,31137088,559024772968,115923691629985
2019-01-10,989.46,992.96,982.2,984.03,31056187,468064236165,115085858788844
2019-01-11,985.6,989.1,979.41,983.48,25322350,493583123838,115112025977153
2019-01-14,982.75,986.92,979.99,984.43,24401560,527655785769,115154693362193
2019-01-15,989.25,997.47,988.13,988.13,30309828,513671256682,115405502883930
2019-01-16,990.28,994.02,986.84,988.42,49446638,530909392659,115440334879025
2019-01-17,992.29,993.66,977.03,977.03,29773041,535046417502,114227404988280
2019-01-18,984.74,988.39,979.76,987.2,26178418,519553254429,115472325789150
2019-01-21,995.07,995.58,986.64,986.77,26272218,495207368530,115547273998655
2019-01-22,989.23,991.23,979.11,981.64,19452319,410008739905,114966950187850
2019-01-23,979.86,992.81,979.5,991.94,45550452,454604014468,116177057964790
2019-01-24,988.41,994.66,985.16,988.17,66317253,515703043056,115729378052420
2019-01-25,985.76,1002.06,983.27,999.86,40191007,589059384670,117034574018730
2019-01-28,1002.68,1005.8,998.27,1001.68,25035153,479920063935,117270033595570
2019-01-29,1001.29,1001.59,991.32,994.89,59947087,590902040515,116556601178395
2019-01-30,999.76,1007.81,998.05,1007.59,45398178,601168944030,117907092791715
2019-01-31,1015.49,1020.29,1004.18,1008.47,47271480,881002891270,118125563510315
2019-02-01,1009.79,1010.71,1002.32,1006.08,44845524,917466912340,117867175728740
2019-02-07,1013.66,1014.28,1002.01,1012.77,35228523,751137158670,118703194943260
2019-02-08,1010.73,1014.83,1006.67,1008.64,27605865,594629568355,118263961674785
2019-02-11,1014.5,1014.53,1006.34,1009.17,23825153,500442422409,118289052572545
2019-02-12,1011.17,1011.99,1005.16,1006.02,27021600,595541275660,117959114884345
2019-02-13,1010.56,1016.66,1006.86,1015.53,28985317,575175995077,119153463808125
2019-02-14,1012.18,1022.31,1004.95,1022.31,31445876,660986461975,119951386440385
2019-02-15,1016.89,1021.12,1013.04,1019.03,21367066,498074850565,119447758858760
2019-02-18,1022.09,1028.97,1021.17,1028.25,21742979,476238447140,120551357340580
2019-02-19,1028.49,1033.4,1022.58,1030.82,22664962,631275955230,120805211587545
2019-02-20,1032.71,1036.69,1025.18,1030.41,23388310,625066452300,120834001630690
2019-02-21,1031.24,1032.73,1023.66,1026.6,25372058,597534986070,120487697374165
2019-02-22,1029.57,1034.89,1029.57,1030.5,19833706,470390920752,120924455156350
2019-02-25,1039.22,1039.85,1029.91,1031.58,23013742,600994650350,121094905257765
2019-02-26,1033.05,1036.36,1030.22,1030.73,29148073,637622898089,120847855772035
2019-02-27,1035.19,1038.23,1028.86,1036.88,21334331,537225240630,121696380736905
2019-02-28,1039.2,1045.24,1011.56,1011.56,38819837,1043751255409,118938838648560
2019-03-04,1014.63,1028.99,1014.63,1020.42,35408636,903399051558,120141432710840
2019-03-05,1016.09,1018.25,1011.12,1016.6,25101501,614815123778,119744042016200
2019-03-06,1015.86,1017.24,1010.25,1010.72,23534999,578304406256,119146746244070
2019-03-07,1012.83,1013.11,995.55,1001.1,25643458,599927976670,118012652283720
2019-03-08,995.07,999.85,986.57,987.74,21533718,476075296010,116514332049905
2019-03-11,985.11,988.27,975.97,987.97,18718098,408077059244,116620538574280
2019-03-12,995.32,998.64,993.36,996.46,18887994,434257242470,117595956461620
2019-03-13,997.02,1002.4,995.09,999.86,17572211,405702746561,118043134333650
2019-03-14,1004.58,1008.33,998.98,1006.84,24751619,551796157010,118872511987295
2019-03-15,1006.58,1021.7,1006.58,1014.82,35458779,750947682860,119862108273905
2019-03-18,1018.34,1019.92,1014.39,1018.13,17827273,415028173050,120193573207680
2019-03-19,1021.89,1021.89,1013.23,1013.23,16546505,367573214495,119575241371525
2019-03-20,1011.92,1013.86,1001.89,1012.02,16549781,356441633626,119424589340425
2019-03-21,1008.52,1014.82,992.91,993.13,23564287,506165297865,117166577526090
2019-03-22,992.3,995.57,983.16,985.62,25912302,493649373895,116345880784350
2019-03-25,978.52,982.19,969.06,969.06,24080291,461359290075,114397450346655
2019-03-26,974.04,986.0,971.93,981.53,16954711,364440870129,115840860855755
2019-03-27,984.95,986.09,977.08,978.68,19453375,364824347185,115640758422310
2019-03-28,975.36,975.6,968.4,968.77,19680125,359122862329,114624388977635
2019-03-29,977.85,985.5,973.91,982.82,22212778,534885730582,116164429717355
2019-04-01,986.19,997.24,986.19,995.63,25078729,463391318645,117847130120110
2019-04-02,997.02,997.2,988.34,991.26,22364634,438158801875,117332850807740
2019-04-03,987.29,1001.15,985.94,1001.15,22002602,447442501500,118431743529060
2019-04-04,1001.8,1004.74,997.73,1002.85,18106016,403047737355,118651402231535
2019-04-05,1003.34,1006.82,1000.36,1003.97,19142028,431052420660,118763189182275
2019-04-08,1006.67,1007.72,998.93,999.37,17024655,390935746430,118355242910850
