시가,고가,저가,종가,거래량,거래대금,상장시가총액
1220.5,1220.58,1208.78,1213.29,27972102,799794524221,159424668568410
1209.62,1210.28,1198.97,1202.34,34187968,969335596034,158079105812710
1197.89,1198.29,1188.62,1188.62,31483633,752350765042,156178636488040
1187.22,1196.19,1181.29,1184.51,24530426,699810201196,155635189329270
1186.79,1187.99,1178.73,1178.73,21282594,588219724295,154914256694490
1190.84,1191.44,1181.32,1182.8,21561029,540212049941,155461286211420
1184.92,1188.63,1181.77,1185.09,27465024,635575938705,155670957789030
1190.78,1192.57,1176.79,1176.79,26883412,659937738760,154530149802290
1177.18,1182.45,1169.33,1171.86,25057643,548455529060,153955355258460
1173.93,1178.08,1165.95,1167.65,24119111,576378456885,153507655482240
1163.78,1166.66,1150.97,1156.32,20034221,511751320370,152005282282200
1157.54,1158.79,1130.0,1130.0,44042740,723897359930,148404222226360
1131.49,1139.36,1125.26,1128.68,26763301,550147542245,148258626861610
1135.31,1145.53,1130.42,1131.86,23519806,538735824290,148557809290480
1136.86,1137.89,1127.16,1131.3,26011033,520384239569,148573202049760
1135.05,1142.8,1131.23,1138.31,27990659,515464628565,149382164749010
1139.41,1139.43,1130.99,1133.74,34955211,658578964070,148745547611190
1133.3,1147.53,1130.41,1146.24,26176567,582769873500,150335660512890
1141.15,1156.6,1137.45,1147.68,24324871,526995855365,150477781815450
1150.96,1162.99,1147.23,1156.0,35641899,753387845690,151707828738640
1164.06,1173.55,1161.97,1162.31,53716755,911787895245,152492516893310
1158.83,1165.22,1157.01,1164.18,38258004,876993397280,152810984816190
1158.5,1189.92,1158.5,1187.7,110461173,1628339289205,156107148506160
1188.91,1211.78,1186.75,1208.12,75035922,1297659095265,159057272521950
1207.29,1207.29,1186.82,1201.53,64288627,1014791051625,158421231862920
1196.86,1203.56,1189.46,1192.98,44996128,984021200715,157268989913250
1201.12,1216.1,1199.78,1214.59,145813476,1505393072215,160204897804090
1216.38,1223.38,1211.75,1213.2,88048455,1195687001593,160013062677980
1222.33,1227.61,1210.09,1213.98,50823782,1004127256325,160015380238180
1200.43,1207.35,1196.91,1202.99,45576777,987750057035,158714872756820
1212.79,1213.03,1197.88,1198.9,34338315,765031034355,158134204870690
1208.37,1221.76,1208.28,1221.07,42699838,968834796238,160966994679540
1223.78,1239.65,1223.78,1238.17,43633986,1050421925595,163295640089830
1237.54,1244.12,1226.13,1231.19,36186651,994356301010,162385201129020
1233.26,1245.54,1228.42,1235.44,32702362,1044538475830,162748116036430
1240.77,1240.77,1231.35,1236.69,44588322,1419293387540,162775181393750
1237.98,1242.26,1232.25,1236.17,40362098,1100555654842,162775131172230
1233.57,1233.57,1213.42,1218.12,42280586,955961247698,160360846383280
1219.5,1220.04,1200.12,1200.86,45603692,1097458781595,158145003543160
1201.88,1208.31,1192.8,1207.05,38386314,1050275202980,158955840458750
1204.36,1210.9,1199.97,1200.3,59240717,1223076758970,158079222190630
1210.37,1216.9,1206.53,1208.7,33951921,958380852985,159175180168190
1206.67,1225.19,1204.82,1209.83,37851688,1200392825715,159329707142400
1206.91,1218.15,1205.19,1215.45,35746425,1099053474075,160152386780930
1219.51,1220.18,1210.42,1213.1,40598226,1280572293324,159831325289740
1226.71,1230.06,1217.61,1223.9,33542626,1035409724420,161307586632440
1220.82,1225.88,1212.1,1212.61,30282316,1070027018590,159839610381890
1218.72,1218.89,1202.87,1211.31,36214743,901607378022,159742434069930
1218.46,1226.52,1214.18,1219.1,38944618,1139917877171,160559584680200
1224.03,1235.07,1223.24,1230.05,61803527,1543145854685,161881137741720
1229.49,1233.64,1220.45,1221.99,45016545,1280767751308,162594224655840
1231.05,1236.9,1225.85,1234.41,36917743,1064249216995,164290547341810
1231.59,1235.8,1222.01,1224.59,44494803,1013991102213,162953933363370
1233.84,1235.15,1223.72,1227.98,29689410,844522351555,163453240055500
1237.06,1253.44,1237.06,1252.69,34270871,1149795532630,166469182100710
1251.82,1258.75,1251.82,1252.88,39354769,1092370063665,166538447012000
1254.22,1256.53,1244.22,1246.16,40421938,1095283363064,165491156738650
1254.4,1260.12,1249.34,1253.91,33653849,1012080776813,166482712615580
1248.12,1260.74,1247.73,1258.3,36213522,1130093201015,167107001953370
1257.12,1261.21,1251.19,1252.15,37838520,1140561178667,166221050077810
1257.86,1260.13,1245.85,1245.85,54583148,1660729571550,165253810772180
1253.12,1262.3,1246.69,1262.09,44379980,1397396122310,167324715395460
1253.36,1257.88,1249.75,1250.46,40418351,1231277728565,166481096020740
1245.55,1246.31,1235.75,1241.99,44908096,1233570532780,165469028772330
1253.44,1258.96,1247.2,1251.31,39844286,1225549742360,166652153858030
1241.38,1255.12,1240.74,1245.65,88175478,1883608842580,165870172166610
1245.64,1249.67,1233.35,1242.54,43728666,1177409190995,165381278635050
1250.5,1263.56,1249.95,1253.41,51524648,1622530787670,166629897875370
1235.24,1258.64,1230.55,1251.85,39695524,1342291422975,166456247397490
1254.38,1270.42,1243.84,1247.8,75612584,2483992850243,165927583132740
1243.47,1246.65,1229.91,1246.58,36833201,1367176334386,165733160018830
1236.59,1237.99,1206.3,1210.06,40578121,1398811383335,160717159364970
1214.97,1226.44,1211.99,1215.29,32408633,1279935669037,161237257824560
1226.74,1254.47,1224.6,1253.78,36614030,1486965679740,166339376595010
1244.88,1247.92,1219.38,1244.29,44107826,1911855264940,165047988635140
1260.41,1268.88,1252.02,1267.04,41777356,1576162602612,168299951014410
1267.44,1279.15,1256.17,1275.79,35575489,1693328434875,169436758995120
1286.5,1287.19,1275.3,1284.03,27149760,1254403251235,170513184876140
1274.03,1289.03,1272.37,1274.1,35147288,1244904633488,169386664273480
1279.87,1290.49,1277.38,1289.09,71356465,2016319769744,171337702814880
1297.76,1323.31,1297.76,1323.31,63550082,2094239611105,176051266816020
1321.92,1332.99,1316.5,1319.45,46405880,1522219706980,175604078540640
1315.8,1323.9,1313.34,1317.65,36397526,1324755891635,175318034207330
1323.12,1323.12,1308.74,1309.25,29606782,1048996460560,174202926964250
1324.37,1333.62,1320.6,1333.58,45554085,1434787546495,177410568268660
1333.35,1341.94,1328.47,1341.94,52362044,1264004247123,178565832683650
1344.58,1347.74,1336.56,1337.28,43541898,1280827090675,177915254456040
1348.62,1350.85,1338.92,1344.55,47564447,1375912450128,179014999947050
1351.86,1361.37,1345.1,1351.68,112774139,2839211004930,179961680508360
1355.85,1357.12,1344.83,1351.25,58007073,1622626902284,179881825463910
1367.42,1372.31,1358.04,1370.53,74646063,2194721514823,182402396566020
1364.93,1372.81,1354.58,1359.4,46131243,1815250382305,181042560066350
1375.03,1389.45,1375.03,1379.41,70438270,2844938165370,183537713299690
1379.34,1382.92,1364.19,1367.08,52562286,1936528413135,181737751429430
1371.05,1379.54,1365.9,1366.39,52725547,1938537161285,181806010137810
1359.45,1367.27,1350.94,1363.33,53308837,1991958414875,181374698929890
1348.61,1369.91,1344.29,1367.56,43900531,1957016437329,181868270236170
1377.79,1395.37,1372.26,1389.39,45614453,2094470127880,184752802304560
1390.77,1395.13,1386.4,1393.42,34256889,1481776110475,185322465715800
1390.24,1396.25,1374.99,1380.37,39131521,1599315975351,183619434865320
1373.08,1375.93,1362.33,1362.78,30517236,1193479698105,181152857953920
1371.68,1381.0,1362.91,1380.99,54030281,2229321786705,183510349712000
1385.41,1390.06,1375.46,1381.14,36538873,1394161316115,183634589012710
1369.67,1377.33,1361.47,1365.5,33905292,1268439758576,181446789380930
1363.86,1365.79,1350.67,1354.74,39020956,1584600069605,180007424583220
1361.92,1370.84,1354.87,1358.19,27844675,1290471064402,180529104405150
1349.34,1375.75,1342.81,1368.13,31066073,1453965972735,182135009930300
1377.82,1378.31,1362.3,1362.54,33031384,1350047824330,181523685631570
1362.61,1369.61,1358.98,1367.68,30275516,1281531802250,182300230932420
1375.88,1390.55,1367.11,1367.11,72767424,2218573423150,182410808863770
1366.61,1375.75,1362.75,1366.11,42750001,1975815333651,187986965059710
1370.75,1380.67,1362.24,1380.1,44163467,2089965127765,190093698223960
1386.83,1387.8,1368.84,1372.94,59112090,2010200853460,189300207739360
1380.02,1380.74,1366.5,1372.91,42495671,1795568819395,188984500682110
1372.04,1376.66,1367.9,1371.14,36807098,1332002035494,188683142857990
1372.77,1384.91,1367.41,1384.91,50547595,2158423149922,190447632461770
1383.71,1384.32,1361.79,1363.57,31501467,1358888171448,187508614445390
1371.71,1378.82,1367.22,1369.23,28222557,1128713274569,188310385460670
1364.35,1370.18,1358.15,1366.43,32190988,1210926835822,187917498205760
1355.34,1372.66,1351.82,1369.49,35412591,1446533406040,188155909999280
1372.49,1386.44,1372.49,1386.44,37566634,1365109537390,190483617957690
1381.68,1385.93,1365.82,1368.22,29385033,1330369548965,187825485815990
