날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,975.06,992.39,969.09,990.51,1115471,82691961350,46700270556500
2017-01-03,992.01,992.01,977.26,986.13,1339663,120142098350,46222265857900
2017-01-04,987.66,987.94,981.56,984.8,1142266,112252559600,46111628863100
2017-01-05,984.56,989.45,970.28,974.68,1708781,171712504700,45360313441800
2017-01-06,978.71,987.14,975.37,982.84,1316713,144324397250,45688259629350
2017-01-09,980.52,982.0,964.57,968.48,1399516,136639547950,44990834043950
2017-01-10,964.74,973.15,962.42,970.57,1154801,126561466800,45351580293000
2017-01-11,985.88,1036.25,985.64,1035.97,4474784,361280124710,48435869612600
2017-01-12,1042.12,1051.82,1031.15,1039.12,2299159,195951041500,48394226469150
2017-01-13,1035.04,1049.13,1030.63,1048.14,1855294,156523193150,48777584134950
2017-01-16,1050.68,1050.99,1036.22,1041.28,1364310,113454294136,48542221864050
2017-01-17,1044.36,1052.53,1036.0,1037.58,1441789,133383975500,48379104253550
2017-01-18,1040.67,1041.66,1028.41,1038.48,1347423,127219720750,48603246159800
2017-01-19,1043.74,1064.09,1041.82,1053.5,2543059,243524960522,49677188995200
2017-01-20,1045.65,1045.99,1035.31,1039.2,1164283,123841262800,48878532514650
2017-01-23,1036.77,1041.86,1027.1,1034.05,1156005,110532337800,48532127713250
2017-01-24,1032.95,1038.54,1022.44,1038.43,1435107,122526509588,48669033100900
2017-01-25,1048.56,1048.56,1017.46,1019.95,2051454,149077096500,47958778788950
2017-01-26,1015.84,1043.2,1009.18,1028.46,2131410,222085767350,48554988371100
2017-01-31,1023.04,1030.17,1014.98,1017.89,1090042,117819348150,47954904021950
2017-02-01,1018.03,1044.02,1018.03,1042.44,1533034,149948941096,49163278601250
2017-02-02,1029.95,1033.98,1022.07,1023.11,1617356,131420094950,48285713808350
2017-02-03,1026.73,1032.05,1004.63,1012.84,2535996,189390014400,47688256778750
2017-02-06,1017.73,1021.38,996.24,1002.2,1567389,109419406400,47190441136500
2017-02-07,1001.54,1004.91,987.76,993.33,1702026,223309655150,46780746883550
2017-02-08,990.71,991.3,974.72,984.58,1327241,206936596450,46484199654650
2017-02-09,986.07,998.04,982.62,993.33,1379270,177376213500,46983715061050
2017-02-10,1000.7,1003.81,995.9,995.9,1459908,166943234400,47261695393450
2017-02-13,1006.53,1015.96,1003.24,1013.01,1522671,172504372450,47911820583100
2017-02-14,1025.97,1035.01,1023.87,1024.42,2175654,206508211324,48405191292250
2017-02-15,1027.15,1034.28,1021.98,1031.71,1406815,139717682800,48644945523000
2017-02-16,1025.2,1027.98,1016.41,1020.03,1365340,123206835201,48360898800800
2017-02-17,1016.3,1028.88,1014.19,1025.08,1117340,151227685418,48701590997400
2017-02-20,1025.49,1026.92,1014.26,1018.76,1150513,114021731800,48517569571600
2017-02-21,1023.6,1041.25,1023.6,1035.15,1625649,186644796600,49225950413350
2017-02-22,1036.15,1041.41,1032.41,1035.94,1138964,155654048600,49541792523050
2017-02-23,1035.32,1035.32,1021.98,1025.72,1282006,186852409150,49092400902750
2017-02-24,1017.27,1019.36,997.58,1002.57,1955561,229857029000,47672149684500
2017-02-27,1003.59,1017.38,1000.8,1010.75,1492642,129033647000,47832962212550
2017-02-28,1015.39,1026.29,1013.01,1013.68,1582849,178773249240,48111844795650
2017-03-02,1033.53,1041.83,1019.33,1027.35,2492024,270773090469,49107816123300
2017-03-03,1019.92,1023.89,1008.42,1010.23,1682749,148119631000,48388672591000
2017-03-06,1011.02,1014.18,998.04,1005.61,1166884,138889562200,48247748300650
2017-03-07,1005.47,1012.18,998.14,1007.82,1017115,121129167500,48228909310400
2017-03-08,1005.35,1024.56,1002.28,1016.64,1879064,184789368850,48527811962300
2017-03-09,1016.1,1017.36,1002.79,1005.45,1786763,173419401400,47926423416750
2017-03-10,998.18,1002.08,989.31,999.45,1374500,142243299350,47621611567350
2017-03-13,995.67,1000.55,983.28,989.36,1676196,189747134050,47237223657600
