시가,고가,저가,종가,거래량,거래대금,상장시가총액
897.28,897.58,880.23,885.86,1733152,322246295630,64856897185810
879.05,879.05,858.06,860.05,2392469,339541108770,62903526119190
856.92,862.64,849.71,855.38,1932539,281361138590,62646899835450
854.69,869.25,850.55,866.8,1700538,319307734710,63739983000960
867.53,869.29,853.77,854.03,1506019,229564798250,62612401543420
862.51,863.74,848.67,849.33,1507828,260237033660,61841386326550
848.61,852.24,840.58,841.16,1392051,262310000510,60799472574360
844.46,850.34,834.68,839.14,1950406,276779732390,60682718288590
836.98,838.98,825.88,828.66,1639410,258252365050,60201666960690
826.71,827.22,818.2,821.28,1424263,218547901640,59548941443120
817.81,828.28,811.87,820.87,1529512,231458832390,59091972537420
820.0,821.2,797.05,797.13,2103617,388512993610,56937284454660
797.52,808.5,792.53,794.71,1755539,322810991500,57123813669130
800.81,804.97,790.66,795.48,1876180,349331276950,56670664177020
798.82,800.64,781.25,784.27,2225543,449132244600,55188000071110
785.43,793.91,782.24,788.82,1606995,320813981170,55708838226130
788.66,789.99,777.95,783.55,1492582,254314653840,55360098156930
781.8,789.44,769.38,785.16,2374265,356172737120,55438024708460
778.1,799.14,774.45,793.31,1937653,329982893670,56587142051230
799.76,826.55,794.05,818.86,3139156,433475647450,58131959914980
827.82,834.82,816.73,816.87,2605203,513772262770,58502939051460
812.91,821.14,808.86,811.48,1681530,251358950210,58223086391240
803.32,827.67,800.89,823.23,2804066,372240584160,59413989725750
823.62,844.35,823.62,841.24,2681529,364729922440,60728356741810
839.65,841.23,821.13,835.56,2265497,318342374460,60391975629740
829.53,835.22,817.86,825.21,1924630,296878424450,59284634222640
836.09,847.79,834.87,845.47,2543303,420905032540,60898668343760
850.25,858.64,845.68,846.2,2956431,440952731160,61116120605050
852.25,856.36,843.16,852.36,3173966,576852071410,60197371980340
840.25,851.74,837.59,848.35,2439749,348843310850,59506772126050
854.56,856.63,844.74,849.93,1759254,280084224010,60093064584170
862.71,890.87,860.64,884.98,4983093,466275297870,61033726914770
883.71,903.45,882.67,903.45,4209845,446620283860,61649932556520
900.03,917.44,892.86,904.8,4013549,421529154060,61143336023670
906.32,926.38,901.94,911.97,3548643,365417146070,61188256542780
920.23,920.23,900.25,902.65,3672308,316823125970,60780535463500
901.56,909.3,891.28,904.4,3178485,302989167630,60822079163530
901.98,908.75,892.25,894.26,2297349,265428922610,60306324848950
899.07,901.17,883.72,887.92,2311823,273774399470,59686347124700
884.2,885.89,874.29,879.22,3961398,409833831690,60384709195860
876.49,881.73,868.65,875.91,2783285,304050160050,59716684393610
880.13,884.8,872.17,872.3,3131024,580667653280,61648794671950
867.43,877.72,858.77,858.97,3028656,528842416800,60498580356920
856.24,860.45,847.39,850.74,2633684,317565728160,59637971383320
856.87,871.57,854.01,864.76,6657587,465973233880,60366741146450
876.63,884.93,870.38,873.87,3825598,378195053110,60917644871680
868.91,868.93,856.75,860.69,2609973,275956792270,59884184230340
870.37,875.42,858.55,872.77,3038325,330228087940,61264187395730
876.77,877.16,858.21,859.65,2626176,280881947380,60741684187880
866.21,871.98,860.32,860.32,3044702,333461071860,60380400441830
856.79,860.04,849.71,850.85,2326290,324686033610,59552049843110
858.32,866.41,854.41,862.96,2847450,303133679770,60220558821200
864.48,864.85,849.23,852.99,3271955,409094079878,59331915057630
858.49,858.63,845.66,846.81,2123427,293009290170,58755241029900
855.57,864.83,855.28,861.62,2522042,319422143735,59244001774840
858.0,865.02,854.18,854.21,2157044,274476477960,59059946104830
859.2,868.84,855.59,858.43,2287920,283817967520,59579205495050
865.65,871.32,854.96,855.32,2350322,255690860230,59205685765750
856.35,861.83,851.5,856.32,2118257,240294863420,59250421338050
854.11,854.13,836.82,837.26,3066695,327269817030,58218502531690
840.4,840.56,828.03,829.73,1922141,229555776610,58079836108000
835.36,836.78,828.47,832.67,2039745,238338454150,57847527893400
828.21,834.33,822.2,822.64,2236336,295797197050,56900142071030
815.3,816.11,805.21,808.37,2345873,362275425340,55735692864790
822.89,826.13,812.42,823.89,2491890,355571975980,56499824110980
816.12,821.25,811.73,814.02,1788560,231818978600,55725419184710
809.67,817.64,792.65,816.34,2960710,459376496450,56390534603310
823.58,835.24,820.26,831.71,2385728,266714194630,56811173230910
820.48,836.95,817.74,829.45,2339825,297473650270,56529699015590
830.47,835.8,817.75,822.1,3658741,330247077940,55984811972550
819.69,825.29,811.53,821.49,2588218,304521584150,55767678239350
815.25,819.72,805.39,805.43,2392692,310509130380,54549320796640
806.7,811.13,797.96,797.96,2086849,283018856410,53605502881720
818.58,835.51,816.03,824.45,3850211,393497551510,55611361860280
818.03,820.39,804.86,815.71,2602695,293400759910,55110556730200
827.28,831.07,814.76,820.05,1665437,201686308200,55903860106320
820.16,825.93,813.57,815.24,1476876,164097705240,55385646148550
825.73,828.22,815.25,820.3,1664478,223084846370,55776332013160
813.89,819.69,809.08,810.07,1456582,174617627990,55261053792340
813.52,814.53,807.35,813.16,1596257,168230996320,55486488442990
818.2,842.31,816.48,842.31,2753110,299165546690,57304253645180
845.89,845.89,833.02,834.48,1952331,233156525400,56960537377790
838.2,844.25,833.18,833.88,4383943,348661859250,56349981138360
839.33,844.09,833.98,842.04,2236530,219513389770,56905463010880
849.73,853.28,843.18,847.87,1835390,202124919740,57395204287230
850.18,854.34,845.72,853.9,1507995,189321892750,57601382794660
855.43,856.71,844.81,845.62,2115733,232829421220,57035669177840
856.25,856.99,844.08,849.38,1271137,141824059570,57363765677700
852.08,854.52,842.94,845.39,1896663,186232823710,57095387434640
852.72,860.4,849.59,852.36,2355875,184520365960,57391266067890
865.76,867.32,854.48,866.43,2223666,226149418530,58081348020810
860.75,861.81,848.89,850.53,1712679,180647981960,57380574459850
859.43,866.12,857.08,860.12,1923460,232595099810,58050848751550
864.55,865.68,844.67,848.69,2120713,268663996420,57298797483450
847.29,849.72,836.05,837.21,1767123,189234089670,56734039492200
825.48,828.19,815.55,822.97,2052772,233012190860,56009059151670
811.11,825.33,805.89,822.17,2179400,238738085800,55475781295960
821.18,839.22,811.01,838.15,2296636,308132439460,56409049365780
836.33,837.11,823.73,825.31,1822040,183475861500,55566510443140
824.05,830.95,819.51,824.48,3011218,302708265280,55010145626380
818.15,821.44,810.97,814.88,2114258,248886341320,54447128364980
820.19,824.27,809.64,824.27,2461694,296544485820,54726298215760
827.2,827.2,814.98,818.57,2232298,249003507760,54685075378160
811.76,822.36,811.76,820.07,2073586,186496503120,54804866943480
820.52,833.59,819.13,826.68,4000193,300925818220,55204703743290
833.98,836.53,824.5,832.01,2145408,232511332020,55873353558730
823.3,834.63,818.65,829.73,2978666,272831899740,54791742399740
831.33,843.16,828.99,840.94,2758602,253700883260,55375555846800
836.74,841.68,828.68,834.77,2091674,186404630380,54963581824090
840.71,845.26,827.4,827.4,2534111,288646998990,54580667715820
830.54,832.13,813.58,818.22,2905236,306765170650,55451188379240
817.73,825.13,813.09,814.88,2451237,253636369990,54735228339980
821.72,821.84,807.87,809.91,2185397,218186242310,54505236532170
811.9,821.22,806.45,820.71,2164926,254181619200,55237157739060
821.93,832.53,821.06,823.69,2447136,202321493630,55146599449930
