날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2023-01-02,217.69,218.39,214.79,214.93,82512601,3258893814105,1204463693318340
2023-01-03,215.81,215.85,210.64,214.87,93076567,3776846977260,1199754082153500
2023-01-04,213.29,218.25,212.72,217.85,89759404,4042039794514,1212368717556850
2023-01-05,218.97,220.62,218.18,219.19,121605031,5091160076030,1216094636263890
2023-01-06,217.83,222.75,217.73,221.76,103686838,4349224929891,1229696455227170
2023-01-09,224.38,227.73,223.38,227.61,102535271,4734641816320,1262848085298170
2023-01-10,227.48,229.37,226.93,227.94,96513107,4445743563744,1265066973869735
2023-01-11,229.18,229.82,227.39,228.62,90293041,4307842615431,1269473975575575
2023-01-12,230.27,230.47,228.64,228.95,114616707,5030587376498,1272977124300160
2023-01-13,230.49,232.75,230.37,231.66,116137163,4744581057201,1286753680290850
2023-01-16,231.86,234.45,231.59,233.54,109787755,4520726083385,1294564454320025
2023-01-17,233.58,233.79,231.08,231.34,91414490,4230167983773,1280318316482200
2023-01-18,231.5,231.74,229.22,230.34,81467460,3704062596872,1275980812371630
2023-01-19,228.46,230.9,228.43,230.64,73441430,3519757070110,1277970566457350
2023-01-20,230.38,232.2,229.99,232.01,69326331,3371580055113,1287916051199790
2023-01-25,234.69,235.7,234.36,234.94,80697908,4042013215645,1303100631170226
2023-01-26,235.43,239.14,234.49,239.14,104591171,5576364953288,1329484827839260
2023-01-27,239.36,241.9,238.12,240.58,137397794,6137539465851,1336149986737355
2023-01-30,240.53,241.29,236.88,237.06,120809025,6309867015794,1315512139379250
2023-01-31,236.95,238.3,234.77,234.95,164916208,6798749953977,1308428251766754
2023-02-01,236.22,237.93,235.43,237.79,121951986,5398773754120,1321652302605177
2023-02-02,240.58,240.65,237.24,238.06,129481036,5832373081753,1325211996651769
2023-02-03,237.55,240.09,236.97,239.6,107666930,5547213370090,1332373737801347
2023-02-06,238.05,238.88,235.65,235.66,100339501,4596106493878,1312166190274502
2023-02-07,235.61,237.21,234.71,236.98,98717869,4736701119878,1320855923023006
2023-02-08,238.58,240.94,238.27,240.41,108961018,5389843874079,1337125180019189
2023-02-09,238.88,240.58,238.56,239.81,119265073,6160274747992,1335978136383107
2023-02-10,238.91,239.25,237.22,238.87,116423056,5766343287356,1329071200112861
2023-02-13,237.65,238.0,235.57,236.72,111191445,4969587833910,1317353670343074
2023-02-14,238.49,239.38,237.19,238.03,94076908,4678962210541,1324559501759759
2023-02-15,238.12,238.12,233.53,233.89,123618788,6150458864105,1303727981038118
2023-02-16,235.51,238.27,235.29,237.93,119854557,6000107938654,1329016219079309
2023-02-17,235.22,238.23,234.78,236.17,108942084,5138120341768,1317076835286709
2023-02-20,236.16,237.82,234.46,237.06,100126305,4833646818011,1318308476740325
2023-02-21,237.43,238.48,236.28,237.72,110116206,4718364932561,1325650497929397
2023-02-22,235.04,235.33,233.33,233.44,119301922,5198691138354,1301906476910670
2023-02-23,234.42,236.81,234.06,235.69,131553148,4846544660392,1312284111502584
