시가,고가,저가,종가,거래량,거래대금,상장시가총액
249.38,252.38,248.77,251.69,89565663,5873477258231,1400099698565740
249.4,249.4,245.94,245.94,95936491,5550455335006,1369173064698100
244.67,245.19,242.69,243.33,87816509,4643759363172,1357107753848020
243.19,243.65,241.83,242.47,70848624,4856892349644,1351724381031440
242.84,243.36,240.69,240.93,67141284,4110955860368,1344497460542030
244.14,244.27,241.52,241.77,68856253,4058998384873,1349065063335580
241.89,242.29,240.01,240.16,75230306,4721489970242,1340747491777890
240.99,242.63,240.36,240.36,105837276,6623869716721,1341107002277300
240.0,240.62,237.57,238.4,73794070,4208589908049,1346561250094560
238.36,239.46,237.39,238.27,73328963,4176743844578,1342980934301590
237.35,238.05,235.05,235.57,79564072,4831604931447,1329990390651890
235.63,235.9,228.95,229.11,112232536,5775463010523,1294248160648840
229.16,230.77,228.1,229.11,80325126,4488428487332,1292521190957340
231.34,232.33,229.46,230.7,79061671,4804309866258,1299686449957430
232.07,232.26,229.74,229.74,72878929,4588905631148,1291617440209750
231.16,232.19,230.22,231.99,80282179,4286887393757,1302714802795770
231.75,232.59,230.3,232.02,88073324,4170527815277,1303382344767050
231.5,232.67,229.98,232.41,89369577,5112648686001,1303181886242940
231.3,235.84,230.97,233.86,75383183,4454505060393,1312501569635010
234.78,237.72,234.03,236.1,100380024,5608596781139,1324283061682200
238.27,239.03,235.88,235.88,116037700,5602046517519,1323520805571520
235.03,237.02,234.97,236.96,111214334,5661716577224,1332483610864180
236.02,242.12,236.02,241.95,223188230,8912126761148,1359501629329240
244.4,250.91,244.37,250.86,197443427,10296473356691,1404990352174650
251.0,251.0,244.69,247.81,170478656,8690047991310,1390837081428220
246.58,248.53,245.42,246.28,118082498,6592591190870,1379341238856140
247.74,251.75,247.4,249.94,230188412,7701963186124,1400299430890100
251.17,252.92,250.82,252.33,171199711,7660175538532,1412165339997900
254.79,256.52,254.05,254.9,134077649,7995117692365,1426626179231500
250.97,252.67,249.86,251.86,108072785,5951797859203,1410401820623150
254.63,254.77,251.82,251.82,107221155,6588334017743,1411626979851490
254.42,256.52,253.37,256.52,108015755,6268651658254,1438701728240550
257.27,260.97,257.27,260.53,127085799,6667311828277,1456706222327640
259.44,259.84,255.88,257.22,104637157,6153292761987,1441685121201720
256.79,258.75,255.49,256.76,97612381,5561569733665,1441288093110240
258.33,258.59,256.47,258.27,113072994,6701641877724,1448454246675760
260.33,262.12,258.93,259.48,117144502,6921955566406,1453354017700950
258.36,258.36,254.13,256.47,125849275,6617470382240,1438622586244780
256.81,256.85,253.03,253.55,124661833,7088288640433,1422693265816410
254.0,257.52,253.23,257.23,115427867,6354663666604,1441068805119360
256.23,256.79,255.09,255.69,166423603,8927463925335,1432811884024250
