시가,고가,저가,종가,거래량,거래대금,상장시가총액
2604.73,2631.19,2568.76,2627.52,10040216,1068581888300,156487617171500
2627.38,2646.61,2593.69,2646.49,12125541,1076795141500,157290783668850
2645.36,2698.44,2627.57,2631.68,18110559,1691173652121,156667802840300
2635.37,2684.28,2625.38,2674.5,17778400,1420827551350,158913066251650
2679.96,2801.22,2679.64,2785.42,20004717,2892557728235,166565446054400
2785.42,2829.46,2704.55,2766.82,24538818,3226422564192,165869057770800
2761.34,2766.08,2661.52,2736.78,18228860,1863354082152,164267900299650
2738.59,2777.24,2731.09,2757.41,14339628,1764555735850,166373617935950
2763.36,2792.02,2745.35,2756.87,13201122,1355305337600,166563350098700
2759.62,2790.47,2695.71,2698.13,10440331,1308030261099,162275416940500
2697.8,2699.49,2647.01,2652.39,18385521,1226325522100,159573182748000
2661.39,2721.01,2657.67,2700.76,7823589,940203307950,162871150078900
2718.45,2735.09,2678.32,2718.59,7950079,944625438475,163844589506000
2746.25,2781.67,2745.26,2774.33,11622285,1352270009200,167887014987450
2789.17,2886.1,2776.55,2844.76,14596907,2555000552340,173464038267500
2859.6,2907.81,2848.18,2906.21,16657587,1822290942150,177290305359000
2913.15,2914.44,2813.07,2829.15,13426428,1467302894800,173124141569550
2834.5,2896.84,2832.07,2849.9,10975781,1356726903400,173919423156250
2851.75,2890.93,2789.54,2859.26,13593872,2068951930600,175609437701250
2863.53,2881.59,2760.35,2787.06,14399958,1784117424450,170513724084050
2798.28,2822.74,2745.36,2821.36,9203984,1274519547310,172810223175750
2835.41,2916.59,2835.41,2882.12,12333831,1876938175722,177138248761500
2904.92,2945.17,2893.98,2939.45,12557726,1470841303150,180760166278250
2939.53,2939.53,2857.81,2872.39,18708742,1443366264885,176893337570650
2880.2,2919.98,2862.21,2907.95,9037351,1064155411050,178999797591100
2907.95,2957.81,2896.26,2925.53,7991501,1047406966920,179156648574950
2928.31,2940.0,2901.37,2901.94,7982639,1069905762160,178033704436500
2908.72,2986.37,2908.72,2968.64,11636762,1819481282753,182398238596850
2973.09,3031.07,2971.99,2995.81,9515532,1400267692375,185652180875800
2996.81,3083.85,2996.81,3067.42,18154066,1926932099725,190353278780300
3067.72,3067.72,3010.38,3045.64,11741000,1240333625100,189172024121150
3045.64,3080.24,3011.18,3014.6,9246228,1079158627700,187060050390050
3013.03,3042.62,2962.35,3037.43,11465447,1197171779900,188863898882350
3042.55,3055.78,2931.79,2936.8,8180259,1307900291032,183029447153000
2926.55,2961.56,2896.93,2937.33,10091580,1124907188000,183338437992100
2939.33,2975.25,2870.16,2872.14,10854536,1304680251436,178163773896450
2879.52,2957.68,2879.52,2955.87,8038874,963525574710,182955992843800
2949.01,2950.55,2870.15,2899.23,12032362,1730264139700,179767768630050
2927.08,2979.21,2905.35,2915.98,8140373,1300648790396,180807015968050
2917.34,2984.08,2916.54,2984.08,7308773,1135534569320,185957784041650
2982.59,2982.59,2922.22,2938.21,7857450,1295020010528,182843024376000
2917.89,2919.1,2834.14,2868.41,8006762,1259706444764,178150843637700
2890.28,2904.71,2826.32,2829.3,7129926,1009141596200,175180156846750
2829.3,2843.18,2757.01,2805.78,11009239,1331438483320,173025478012600
