날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2022-01-03,3068.97,3113.7,3057.06,3064.85,6038440,775634293100,205285379499300
2022-01-04,3052.47,3056.94,2983.2,2992.05,7241790,963502181650,200127195759800
2022-01-05,2971.83,2974.1,2875.51,2888.0,12026411,1617836885625,192809459848400
2022-01-06,2841.08,2841.54,2770.81,2776.99,13371489,1722792826350,184900958249600
2022-01-07,2781.77,2807.65,2771.55,2772.27,8827469,1064176088530,184548615817200
2022-01-10,2762.69,2762.69,2704.15,2740.08,9790280,1207465412700,181935346291700
2022-01-11,2736.0,2760.68,2698.76,2702.23,8983290,1088123369563,179621106315100
2022-01-12,2738.96,2784.45,2736.11,2756.03,8312441,1082836483000,183512565798900
2022-01-13,2756.58,2758.77,2729.7,2732.72,7898258,940338591706,182280517803350
2022-01-14,2681.72,2695.87,2658.8,2680.97,7268292,895224879250,178769950537950
2022-01-17,2673.51,2696.49,2650.67,2671.59,20234574,1103478649031,178152850348700
2022-01-18,2681.45,2693.56,2639.53,2648.29,5563678,595704108400,176416291555350
2022-01-19,2611.68,2622.91,2590.68,2613.7,9499470,1047825217480,173772911818200
2022-01-20,2619.14,2659.62,2588.83,2659.09,7391046,875436364950,176584208264400
2022-01-21,2627.97,2674.73,2618.49,2640.75,7744834,998697931050,175280243550300
2022-01-24,2629.09,2644.74,2600.61,2606.38,6457742,733552155000,172744184795150
2022-01-25,2612.97,2619.96,2545.86,2551.99,8436276,946252946930,169002497107650
2022-01-26,2560.03,2564.1,2512.01,2512.01,7180783,973425038950,165878074609950
2022-01-27,2512.01,2522.11,2413.83,2414.31,10410827,1172249999400,159449655286250
2022-01-28,2423.94,2471.89,2389.25,2458.11,9616803,1124125300800,162732518157150
2022-02-03,2499.23,2512.11,2463.69,2463.69,9727727,1045208871600,164002765385350
2022-02-04,2465.4,2527.74,2457.97,2523.69,7051003,870853488150,168148790474800
2022-02-07,2528.6,2533.09,2495.23,2533.01,7663165,848247283810,168826315028550
2022-02-08,2546.17,2571.2,2501.28,2519.85,6475452,740564842200,167454102358000
2022-02-09,2540.52,2546.07,2513.39,2527.06,5717107,522369142914,168032203611800
2022-02-10,2553.24,2585.9,2530.6,2539.03,8714841,969669145691,169265580718900
2022-02-11,2483.98,2525.79,2470.11,2494.55,12825929,1618027635616,167315997403650
2022-02-14,2463.96,2484.58,2438.36,2476.6,8339559,884715003612,165555970728550
2022-02-15,2484.73,2508.46,2456.46,2466.99,6217279,754007544450,164774194165800
2022-02-16,2484.22,2512.34,2464.8,2507.23,6498819,884501571702,168022795962400
2022-02-17,2517.73,2534.91,2472.07,2503.81,8672650,898663101700,167554940360400
2022-02-18,2473.0,2502.86,2463.52,2491.07,5480848,682569148528,166601050830750
2022-02-21,2452.77,2505.23,2444.85,2503.53,6889686,811373607300,167632208736550
2022-02-22,2464.86,2489.73,2454.61,2473.95,6191098,786800047800,165639206319050
2022-02-23,2498.3,2503.15,2483.47,2491.93,5280715,760936587950,166502547798000
2022-02-24,2461.91,2473.58,2428.45,2448.57,6810185,844060164500,163444179863850
2022-02-25,2480.51,2503.91,2469.51,2493.81,7647439,987947610500,167480079012900
2022-02-28,2478.76,2513.93,2469.26,2512.76,6061306,789917849800,168774844047250
2022-03-02,2515.08,2538.01,2506.47,2520.99,6338324,703418961592,169311921473650
2022-03-03,2539.79,2555.12,2534.33,2547.7,5293588,625938935500,171489152707200
2022-03-04,2542.51,2545.48,2492.14,2506.37,6582667,664185194270,168384475448900
2022-03-07,2472.05,2472.05,2439.8,2447.18,6665217,634023408100,163967118646000
2022-03-08,2431.78,2481.01,2417.86,2449.47,5992093,618764216776,163933855370450
2022-03-10,2504.26,2585.99,2499.47,2579.92,11639553,1457781575650,174188759698450
2022-03-11,2573.54,2601.76,2556.12,2589.55,7070087,876357642350,174643587620650
2022-03-14,2599.76,2639.69,2588.63,2606.09,9493766,932984443600,175817757864850
2022-03-15,2594.64,2615.35,2578.86,2589.01,6488545,657598452200,174660613090050
2022-03-16,2615.34,2622.23,2572.92,2601.12,6416147,630743135050,175739057087400
2022-03-17,2654.33,2688.97,2649.9,2650.99,9078685,1118138474150,179742051753350
2022-03-18,2650.28,2682.34,2641.72,2677.04,8086539,902997484250,181432768011750
2022-03-21,2690.0,2695.94,2620.71,2629.7,7044836,772337156300,177887945969100
2022-03-22,2633.19,2664.68,2628.72,2654.18,5790011,527395196250,179463156577800
2022-03-23,2680.05,2716.38,2668.45,2690.36,7082083,760780356250,181764322895600
2022-03-24,2662.31,2669.05,2637.0,2665.27,6846134,624733148850,179811724036050
2022-03-25,2672.96,2676.72,2646.49,2653.52,6281261,618845426484,178620650484650
2022-03-28,2639.13,2652.22,2605.39,2648.95,5872945,548417568100,178173399762050
2022-03-29,2663.73,2681.28,2651.17,2659.15,5099181,475269773850,178996533118050
2022-03-30,2682.79,2692.01,2661.56,2669.77,6639824,617933169600,180164354401700
2022-03-31,2672.4,2704.44,2667.67,2689.73,5369278,539353559750,181257930710050
2022-04-01,2674.81,2693.67,2652.55,2690.74,6567858,719997581050,180893922975100
2022-04-04,2689.41,2726.29,2676.25,2719.32,6347756,744627898550,182573971303400
2022-04-05,2731.05,2736.79,2711.66,2733.13,5040149,573246702400,183881012332950
2022-04-06,2709.86,2714.53,2670.86,2681.62,5414531,646556797850,179762477223600
2022-04-07,2650.91,2660.68,2605.27,2606.18,7682709,755468389300,174421255838400
2022-04-08,2616.17,2629.44,2567.13,2591.57,8291162,831442306150,172937957767350
2022-04-11,2566.84,2589.66,2553.59,2581.99,8105620,652894233900,171684756710150
2022-04-12,2556.84,2576.31,2531.76,2555.28,7510174,783804932050,169650921182100
2022-04-13,2558.77,2584.41,2551.26,2579.76,5897243,578532651550,171397831668500
2022-04-14,2582.84,2583.53,2544.69,2564.55,6935147,590029687600,170962565131200
2022-04-15,2538.17,2558.28,2522.53,2540.98,6978760,498744647450,169295233601550
2022-04-18,2525.03,2529.42,2512.83,2519.58,4952149,374150298800,167811793990100
2022-04-19,2537.05,2561.05,2530.54,2549.42,5875077,407553580350,169818567146250
2022-04-20,2559.41,2560.38,2528.46,2538.99,6026452,564394386575,169532268122850
2022-04-21,2524.69,2536.03,2513.07,2520.51,5798851,622897983250,167840774143800
2022-04-22,2492.46,2494.97,2463.19,2471.79,6095195,771089184000,164342163952000
2022-04-25,2433.08,2448.85,2405.06,2405.06,6054499,605184248800,159659427785700
2022-04-26,2419.4,2444.45,2414.05,2423.45,5380071,608238470160,160597770838650
2022-04-27,2388.41,2388.79,2346.94,2361.92,9584805,763238542450,156652385073700
2022-04-28,2375.84,2380.35,2345.98,2371.02,6959764,527325117000,157265609956150
