시가,고가,저가,종가,거래량,거래대금,상장시가총액
1948.54,2045.29,1946.06,2023.41,9877186,1758701051310,128598787168630
2016.55,2038.2,2004.18,2032.12,5819469,754557483890,128748371291540
2015.98,2015.98,1939.52,1949.21,5118154,623212387350,123895302954040
1944.84,1963.34,1918.12,1926.14,3509190,398563771520,122127235942820
1930.48,1940.73,1883.08,1885.39,3247432,370174396770,119786236346400
1913.84,1924.21,1890.03,1895.83,2704357,259458625420,120349736007000
1903.71,1910.02,1887.53,1896.18,2175076,200428310650,120010255361340
1899.4,1915.68,1864.69,1890.69,3359321,420566317400,120012446219480
1881.49,1899.29,1853.79,1859.19,3487601,473542751640,132536359820550
1867.7,1878.34,1832.37,1842.37,8570725,680600767160,131387026628110
1851.38,1894.69,1827.66,1860.98,15403840,1096668044700,132186074963960
1848.49,1855.0,1784.83,1790.13,10305909,749939927130,127746901608900
1794.78,1799.77,1761.43,1762.66,6128723,441764616393,125956041063950
1773.82,1788.21,1753.29,1761.1,5007307,413094718500,127516703745940
1770.05,1805.55,1768.01,1797.45,3928776,434188483230,131177061624530
1807.15,1820.31,1797.52,1805.97,3780984,325096643770,131506475545750
1802.35,1806.07,1782.83,1783.7,2090936,201876455360,130083787826670
1788.1,1807.1,1778.43,1796.37,5879489,412549301070,130503756110430
1783.99,1815.74,1777.62,1798.07,3509272,277618659540,129818472617720
1822.13,1844.71,1807.76,1807.76,4372270,442692634020,131820010867140
1822.79,1826.99,1803.86,1811.99,2571713,302575782560,132877964701240
1811.21,1814.4,1792.51,1800.91,4306513,347736944150,133570125803770
1789.51,1794.15,1754.78,1785.42,4421828,342017504120,132416509448760
1784.09,1829.64,1780.23,1828.85,2791948,307279063010,136327186072590
1827.18,1832.07,1797.33,1804.24,2540903,264718496800,134321963038170
1813.79,1843.75,1808.19,1824.24,3529627,302702471750,135127861168220
1833.08,1850.65,1808.66,1816.05,3102956,348721889020,133006957220790
1818.82,1831.49,1807.09,1810.06,3009682,309616975813,132353613214350
1827.7,1868.73,1827.04,1866.22,4030849,390835459380,136571197300600
1837.78,1848.98,1822.31,1840.52,2398673,226734192496,134718429326350
1852.68,1852.68,1825.73,1825.73,2112791,190200918840,133548043051470
1835.57,1846.27,1827.96,1840.09,2235296,196984238230,134345148749630
1838.31,1853.15,1828.24,1843.76,2023489,183347150430,134098040769040
1842.39,1870.45,1836.62,1851.58,2972280,256853737200,133795285922450
1859.56,1875.21,1850.04,1854.06,3615935,322821646640,133680710655460
1860.89,1868.76,1828.72,1834.57,2810472,237343947902,132832715015490
1841.34,1879.78,1834.32,1858.63,4956383,437028750199,133742454379000
1875.45,1893.21,1867.72,1877.37,3605202,331166632970,134215934936230
1892.66,1893.47,1870.34,1884.09,4587034,504801570160,135651927722420
1881.15,1891.1,1869.9,1881.63,2856171,313953052670,135167416188770
