시가,고가,저가,종가,거래량,거래대금,상장시가총액
2471.52,2512.64,2468.36,2506.5,57891375,5746991928593,1486920315813340
2477.72,2477.94,2436.16,2436.16,56408810,5314308879326,1445574360425010
2421.41,2433.02,2407.1,2414.27,53108443,4385137142263,1435268153708290
2415.5,2420.03,2402.07,2408.12,39579794,4259644297118,1431108809719700
2414.03,2423.7,2394.99,2396.72,37011390,3793471133898,1425750439067160
2428.3,2429.31,2378.27,2383.5,53875436,4912151734465,1417268096301310
2384.55,2390.01,2354.16,2356.92,51850981,4921720989545,1402091652448460
2354.55,2376.37,2351.36,2358.11,115816587,9379596455075,1402195821645510
2353.68,2359.9,2334.51,2341.47,46646241,3968028059581,1408520685804200
2342.25,2355.92,2335.4,2346.98,42723879,3764564032783,1409179480223800
2337.01,2344.75,2312.42,2315.47,43820644,3979780000067,1392129105702620
2321.31,2324.0,2253.45,2254.64,61454411,5478917892341,1356633361414300
2258.82,2271.65,2245.42,2261.41,46393574,4243517016861,1359260545455990
2294.11,2303.84,2284.88,2302.09,55484248,5127309060524,1382439663989700
2322.42,2324.54,2297.75,2297.75,47496109,4845508760634,1377332786780880
2313.6,2314.8,2295.09,2314.8,46708770,4181139967366,1385779868997290
2310.76,2310.76,2288.15,2305.81,49462522,3908030413353,1380608787640870
2304.45,2309.38,2289.71,2305.89,53084762,4649178709655,1378298581229480
2293.45,2334.22,2290.43,2310.09,42785120,4084887515622,1381966326705530
2321.3,2355.41,2314.19,2337.22,54643089,4937912509208,1396922330569930
2359.59,2363.67,2330.56,2333.81,48436060,4743851113524,1394900955739460
2319.13,2333.13,2319.13,2326.71,57510146,4968289081411,1393003358882980
2324.31,2371.42,2324.31,2371.42,89790306,7443862440317,1418150632314590
2396.06,2459.61,2393.33,2459.61,100746495,8782790119287,1466041391145080
2454.93,2454.93,2397.56,2427.39,89447664,8054305724275,1449488392699500
2419.72,2435.39,2400.46,2416.68,59113927,5826203817191,1440463499818940
2430.09,2465.96,2423.86,2445.43,73062961,6488005209042,1457577428075010
2454.57,2467.35,2449.05,2458.83,73099242,7048692634795,1463880135610850
2483.84,2501.89,2482.06,2491.68,78032063,7696873093612,1483845454886010
2447.73,2463.84,2440.76,2457.12,50128688,4988273711872,1463718799873520
2480.95,2482.03,2449.56,2449.56,64204062,6046607952890,1460622200903980
2471.43,2478.5,2454.24,2478.39,53040079,5328695146000,1478295806345230
2484.8,2519.19,2484.8,2515.28,64599255,5436473802370,1495685068227650
2503.39,2505.31,2469.48,2484.75,57538126,5185135936173,1481186358611960
2482.77,2494.9,2465.03,2475.57,51054899,4497001105746,1478129948229790
2495.8,2496.74,2476.8,2492.13,58359102,5454354039444,1486927613886290
2514.63,2531.15,2497.6,2500.99,62348443,5884519653297,1489765769333070
2485.46,2487.53,2457.68,2476.13,68991832,5541079513997,1477351991401480
2480.99,2480.99,2449.09,2453.8,58177535,5383574602047,1464536625027620
2455.55,2488.14,2451.09,2483.62,49904595,4664616537513,1480580128360900
2473.14,2482.26,2457.69,2475.09,78875505,7363406631252,1475847659471260
2499.76,2526.21,2496.48,2523.19,88448095,7244061481318,1499453009708010
2507.91,2529.92,2492.74,2492.78,64688133,6008321236939,1479620246354600
2480.72,2489.13,2469.95,2482.56,57982303,5058285463740,1472160711645580
2493.76,2502.53,2475.25,2492.41,58018551,5430313757417,1478942220738170
2521.62,2536.73,2515.55,2527.6,58823912,6097067790234,1499847092612750
2507.34,2520.0,2500.53,2502.3,59182089,4181221456194,1485559531874240
2514.46,2533.7,2503.05,2527.27,58490863,5259641501122,1503358611760780
2541.89,2550.4,2528.99,2541.87,66680340,5569202480380,1510157947363900
2545.7,2562.81,2542.71,2562.75,111178382,7830167081641,1521566072221820
2541.31,2545.02,2508.95,2508.95,87918469,7246548466880,1491037509716220
2516.89,2524.05,2497.54,2521.24,49952971,4442341923665,1501090884970570
2502.83,2502.83,2475.07,2489.69,66998158,5320135424372,1483204740898380
2515.66,2529.06,2506.84,2527.49,91383453,7951319608469,1507884881155930
2577.67,2606.95,2570.31,2604.59,92494681,8594279024095,1549950570266490
2599.59,2612.63,2581.9,2594.94,64145726,6232941765015,1543210230870420
2602.17,2614.72,2575.03,2582.26,53790816,4980108392871,1536388491951310
2602.24,2635.45,2598.07,2607.03,72669621,6873751659175,1547624976955260
2592.57,2616.45,2592.57,2603.49,78190625,6448225193990,1546412015745610
2601.81,2608.27,2589.8,2596.68,64687130,5626804063534,1541620782606010
2610.27,2613.47,2590.87,2607.13,57674731,5351030770930,1546224320871210
2628.3,2634.36,2597.77,2597.81,48068530,4735250405964,1540488893132400
2597.87,2617.33,2592.73,2608.82,77348217,7065824917001,1548271988192810
2584.13,2588.57,2555.91,2555.91,71988498,6888516501416,1517065156735940
2591.5,2607.3,2587.33,2602.44,60780703,5935087903401,1541523095094450
2572.04,2589.48,2562.36,2571.58,49046462,4839952913956,1524024904076430
2579.35,2592.86,2572.49,2582.57,53649927,5369433107860,1529263716053670
2598.9,2601.64,2563.12,2563.97,51339910,4747189242048,1518483267159170
2521.02,2580.6,2518.05,2570.03,78028280,6618428639778,1521479689631140
2571.61,2572.26,2536.19,2541.63,56091578,4744223504804,1503710264644410
2519.31,2534.52,2498.54,2530.85,56597763,5038899768596,1497302637329890
2502.73,2505.81,2459.78,2469.52,68724329,6136109560287,1461870262152030
2480.98,2486.01,2438.9,2438.9,53498161,4857834305774,1443494824437580
2447.45,2487.75,2442.58,2477.86,55898073,5109074873047,1467654971801580
2438.51,2449.1,2392.92,2431.64,71451245,6382662176667,1440592843924480
2453.82,2466.06,2440.15,2465.8,70898717,6135022602175,1460891991988610
2470.53,2477.24,2454.23,2454.92,55791233,5098509864058,1452690910289150
2497.53,2514.99,2496.88,2509.95,53406495,5192194141520,1487426645876000
2477.52,2485.52,2458.78,2458.78,46011316,4585808006175,1455829329083320
2486.75,2501.36,2478.52,2494.11,49823718,4801085932378,1472793977329490
2512.44,2520.41,2500.87,2513.93,49957460,4566206831655,1485407771155800
2520.52,2538.22,2513.98,2523.1,54184722,5248152169653,1492585156128380
2509.33,2525.19,2509.33,2515.51,47662038,4461990878724,1488553162879880
2539.04,2541.82,2510.98,2510.98,38253162,3733834709093,1484595483367380
2557.89,2575.57,2556.6,2575.57,62532926,5604922224509,1522774544057210
2571.54,2582.37,2567.6,2582.15,42954250,3548571477045,1526424536927470
2578.68,2583.03,2541.31,2541.75,63931969,5026578083025,1503291876518790
2568.97,2576.8,2556.17,2559.65,62471360,4591150411446,1509001028853620
2565.13,2572.91,2543.08,2558.61,59423537,4445867719906,1506071760272290
2563.37,2566.09,2551.84,2559.51,41960541,3436465215354,1507394533087540
2604.1,2611.33,2583.11,2587.62,69083417,5504755999331,1519639508401790
2586.77,2587.89,2557.88,2558.06,48038004,4287694607617,1502157745594360
2575.45,2591.67,2567.75,2578.2,59470299,4599971781476,1513884774797310
2569.3,2574.25,2561.32,2566.02,43670765,4055005406048,1504192927419160
2562.56,2578.13,2546.63,2571.13,56054347,5269433529513,1504969417389280
2568.45,2587.62,2553.74,2571.58,51186106,5038994750495,1505309182487260
2542.16,2544.6,2527.39,2529.73,58575555,5282478425043,1479315663473880
2536.89,2567.65,2533.09,2564.27,142911900,8143081033370,1500764966287790
2553.97,2571.59,2553.97,2564.07,86181600,5256125932679,1499063794325360
2563.48,2566.24,2519.71,2519.71,87157350,6723305464461,1468696028423910
2508.78,2510.69,2475.55,2475.55,69436262,5583781355042,1442955873235920
2498.87,2503.06,2466.24,2466.5,110606953,8709662912288,1439710479451660
2491.0,2531.89,2491.0,2519.29,76177375,5691818944261,1471168876114230
2506.66,2517.5,2497.89,2499.84,70857824,4667486388964,1460867137799810
2520.55,2542.75,2505.68,2531.99,67339304,5635988204521,1483337752463850
2565.02,2579.6,2549.05,2573.14,70416301,6167054122378,1505579011432710
2545.87,2560.86,2534.69,2540.11,57554663,5335642472772,1484898213439910
2556.12,2559.12,2536.9,2547.67,65115639,5526893082701,1490168617612500
2552.18,2573.82,2547.88,2569.14,62153244,4868908923701,1501514709774560
2613.99,2622.96,2593.29,2593.86,105314773,9361424800396,1518467191846220
2601.42,2615.54,2590.41,2604.0,84766701,7598372413042,1529230496319890
2600.28,2608.93,2581.88,2586.16,52581309,5096743914010,1516343474560430
2611.01,2625.6,2605.26,2619.95,58075145,5490816538441,1532789529680840
2644.68,2664.53,2644.68,2660.19,84466733,6873522066050,1558526661816960
2665.66,2681.89,2656.95,2675.05,70024102,6107403549782,1564654956430900
2655.26,2657.58,2636.09,2642.69,81622990,7013405410662,1545705372294290
2626.95,2638.26,2616.89,2626.47,53764422,5037561885391,1538009774598900
2621.3,2642.47,2621.3,2633.85,59835300,5611106498504,1541818579633820
2625.59,2664.11,2623.31,2663.29,54709720,5272324652126,1556119644757740
2632.85,2658.02,2627.01,2658.02,52933540,4799505090270,1553637188982390
2667.56,2669.59,2648.22,2666.2,49657823,4462166638346,1557692115633590
2659.47,2673.29,2652.16,2671.89,42807745,4237634675000,1566739107957650
2666.25,2673.83,2649.31,2652.64,57539828,5402172664125,1556914479869730
2666.49,2675.13,2646.05,2672.62,58770645,5538492098656,1569024140150870
2698.25,2707.63,2690.41,2707.63,82583403,8127963056150,1590314239234610
2723.19,2764.87,2723.19,2760.15,85735343,8132416457759,1618084345129940
2758.49,2766.89,2744.41,2746.56,70201495,5466629008555,1611147639825030
2760.45,2762.13,2735.22,2754.23,80045298,6112425162812,1616199096299670
2747.11,2752.94,2735.06,2750.22,53753731,4891186564247,1614570930632790
2773.95,2785.81,2761.33,2774.45,70172959,7128436491325,1629681671872540
2740.78,2747.5,2710.8,2724.73,84689794,6776969878792,1596837695031750
2735.98,2741.03,2712.68,2729.15,62183569,5366282868297,1599141404213080
2727.51,2745.93,2724.2,2740.67,58339959,5470241617835,1604178162191750
2734.95,2736.23,2707.38,2709.92,82304882,6818984270086,1588214003289560
2666.03,2690.72,2659.07,2690.68,128959946,8488255611631,1578597643765480
2663.45,2670.22,2637.27,2656.01,61373227,5170461378888,1560224051206700
2652.8,2657.61,2619.38,2631.49,59734750,5800220782524,1542942855793480
2660.45,2667.64,2633.28,2638.24,63212615,5435390147586,1546262967371930
2615.7,2641.04,2607.56,2614.59,54008542,5126127935668,1532724784191930
2571.85,2582.72,2561.47,2567.37,73159214,7718561996414,1509736443454650
2582.14,2592.92,2566.09,2587.21,75688516,6921356521424,1520715223639000
2605.56,2634.15,2600.56,2621.48,63035216,5093332865159,1540623385095650
2595.67,2606.09,2584.32,2592.41,61941296,4636743465936,1526335822654620
2601.27,2633.21,2584.64,2633.21,71775337,6066678103817,1549245683021720
2656.66,2660.59,2630.35,2630.99,55035530,5440621577934,1548902467159980
2567.51,2573.59,2514.09,2523.39,78184967,7316918433186,1496922450890440
2452.84,2452.84,2249.08,2295.57,133316126,11034875769448,1366510603694470
2392.15,2425.12,2340.33,2362.55,109110280,9314253975934,1408264478721100
2355.85,2440.5,2351.3,2414.57,84212224,7975425685442,1435018470420020
2373.42,2410.59,2361.71,2392.83,73529600,6250950273967,1423475039958490
2443.66,2443.66,2415.0,2427.07,56739688,5082442935257,1441421846081530
2442.06,2463.42,2439.08,2453.75,36677092,3475097417907,1456608013637580
2464.02,2473.92,2449.5,2467.89,41942262,4055658320520,1462843442222130
2496.95,2502.42,2478.25,2488.69,40384170,3898458262053,1474887590403120
2545.77,2554.95,2531.88,2553.34,59786811,5867105577396,1510610280681360
2553.02,2553.02,2516.39,2527.54,45904219,4151193790165,1494086443339240
2555.12,2566.42,2545.81,2553.55,41518424,3746032196787,1506018992572850
