시가,고가,저가,종가,거래량,거래대금,상장시가총액
2638.43,2675.88,2635.05,2669.56,83341323,6401493160263,1719731043008920
2640.35,2640.42,2598.98,2598.98,90518342,6271730350126,1673798884406690
2582.92,2595.41,2569.8,2577.72,75696338,5003128496397,1660977624714350
2577.79,2581.0,2564.72,2570.86,58117123,4194690900768,1656770205753700
2577.89,2585.4,2556.94,2557.62,57968133,4026122006151,1648792413563110
2590.08,2590.88,2541.1,2546.39,74387961,5157412161499,1641485730896140
2549.01,2554.0,2519.5,2521.72,70087947,5028369497067,1625428503455100
2520.98,2540.02,2519.57,2521.41,136878035,9696170710001,1625199997208040
2517.98,2525.43,2497.89,2505.86,63442295,4499063095746,1630243548701920
2506.87,2517.78,2497.91,2509.84,58351307,4178457301087,1632379985211830
2499.56,2507.08,2473.59,2477.63,64791401,4679264237747,1611425066142510
2481.79,2484.95,2412.76,2413.02,87010350,6295789199873,1569407574510200
2417.64,2431.86,2405.45,2419.55,70565473,5034457064137,1573659908216030
2451.2,2461.38,2439.97,2457.97,78254506,5758134104464,1598943806991840
2477.02,2478.35,2451.46,2451.46,67985401,5423088680367,1594713656014200
2467.85,2470.4,2450.87,2469.34,68036860,4573801593518,1606341042321980
2465.13,2465.13,2441.51,2460.01,69276578,4368289926193,1600270365357740
2457.99,2463.08,2441.83,2459.56,73261370,5091401961507,1599664351265630
2446.84,2493.73,2442.33,2467.67,61601287,4473099838274,1604936234491230
2480.83,2510.73,2473.63,2492.29,78657464,5747699789488,1620998266492150
2516.89,2521.68,2487.85,2487.85,72096639,5318249858467,1618144393110070
2476.1,2491.11,2476.1,2486.69,90725694,5945085179151,1617420601547450
2482.22,2527.91,2482.14,2527.68,126308683,8358670367977,1644083235168910
2546.8,2608.01,2546.64,2607.99,134406419,9855797766242,1696363484732080
2604.37,2604.37,2549.94,2580.11,115825074,8947780216742,1678238010011720
2573.46,2589.87,2552.23,2565.23,83587594,6559547866701,1668584335699840
2582.21,2617.32,2576.58,2597.66,99205393,7247553622522,1689693928558400
2609.52,2620.21,2599.04,2610.77,113954955,8787915540649,1698200645707040
2635.58,2649.28,2630.78,2639.03,109350559,8717983323500,1716600505707350
2596.16,2614.06,2587.61,2606.86,76335240,5864610478565,1695659821761610
2631.95,2632.13,2600.35,2600.35,86336282,6877729793838,1691429081394370
2623.58,2636.07,2612.05,2636.07,79950771,6463688509732,1714678324736790
2641.87,2673.22,2641.87,2669.42,93905428,6503490889845,1736364984521680
2659.69,2661.77,2629.43,2643.86,84002709,6280210469697,1719749490201010
2643.23,2657.05,2628.49,2639.95,78762098,5538788811811,1717216649737260
2660.05,2660.34,2641.53,2653.1,101764434,6973905655964,1725573675568720
2672.44,2689.19,2654.66,2656.76,102195844,7344382477164,1727974242258580
2644.63,2649.98,2618.73,2639.07,105911692,7261925514870,1716463235640520
2647.77,2647.77,2613.54,2619.32,107525027,7485611164588,1703656621121930
2623.28,2656.22,2617.35,2650.7,99219541,6797586935342,1724059560486630
2640.21,2645.58,2622.46,2640.08,131053183,9338176419149,1717140464499510
2664.12,2684.76,2661.08,2676.37,129887446,9113830655368,1740804955509220
2661.61,2686.57,2648.43,2648.43,100257890,7942192694166,1722638315062910
2636.64,2646.86,2625.91,2638.76,99944393,7355354790380,1715789129394050
2652.31,2661.82,2631.83,2648.49,90001124,7115876149377,1722123880993470
2679.54,2692.89,2673.26,2685.47,89538055,7678587020580,1746169708480840
2668.56,2681.56,2662.07,2663.15,95705110,5798118460423,1731319175240710
2677.31,2694.64,2663.36,2689.15,88477852,6464869974250,1748221527653640
2702.7,2710.13,2686.08,2699.83,98444371,6909615550665,1755175264065920
2705.0,2727.72,2702.42,2727.72,208250623,10058005731871,1773242163815420
2707.73,2711.17,2667.55,2667.55,161897035,9461726547190,1758906324184570
2678.99,2689.53,2663.92,2687.04,88995841,5956505762374,1771793746479060
2672.93,2672.93,2642.39,2654.79,108089248,6994204389603,1750517833420300
2681.62,2696.27,2674.38,2693.59,121687311,9227112104849,1776116017234190
2739.78,2764.9,2730.52,2764.45,124367089,9921911389245,1822854013196970
2760.21,2773.53,2744.38,2756.58,107154987,8189518150836,1817724005670480
2765.63,2774.45,2738.84,2745.79,86811233,6853818399535,1810601191254620
2766.44,2793.08,2762.96,2768.46,111594537,9217272790163,1827095315290630
2754.93,2772.87,2754.93,2764.67,118864161,8374307265242,1824590949431550
2762.35,2766.65,2749.89,2754.92,107638133,8311729552924,1818162305264980
2767.47,2767.79,2747.34,2760.44,99685130,7565557476067,1821805437981840
2781.94,2785.91,2756.3,2756.43,87094860,6867542002924,1819155169167830
2754.13,2774.55,2747.47,2766.94,121865636,9752892121229,1826089047182910
2741.96,2744.62,2714.7,2714.7,118629155,9367939396181,1791612759744800
2749.39,2759.06,2737.6,2754.17,97646274,8049857698825,1817664728377010
2723.33,2741.07,2713.47,2723.61,82046683,6891907427486,1797193214843400
2729.0,2740.7,2718.33,2731.47,79923108,6944055695438,1802375904523400
2748.27,2756.16,2714.29,2714.86,91072158,6666691752178,1791418766902630
2672.35,2729.78,2670.16,2718.3,119783570,8901369146223,1793690939099560
2722.19,2723.73,2685.74,2689.92,99045400,7124929318324,1774273762275130
2667.88,2681.87,2646.76,2677.91,95212406,6847472490423,1766248486990570
2649.51,2653.3,2607.45,2616.54,105142807,8046222092667,1725270905326670
2626.75,2633.78,2585.0,2585.0,84088321,6557167792067,1704479271785500
2596.05,2643.5,2593.09,2634.54,125285262,7186070493865,1737145334662550
2596.64,2607.69,2548.62,2587.98,129187519,8843463916611,1706444490331020
2612.76,2624.75,2598.56,2624.75,117958488,7945831614135,1730689010337910
2627.45,2637.7,2614.84,2615.74,106899162,7310276779468,1724408312976180
2660.25,2677.98,2660.25,2675.31,98271354,7547118475842,1763359712998440
2643.07,2651.08,2620.27,2620.27,87769349,6437651719495,1727084266252000
2645.53,2657.14,2634.63,2649.39,101049153,6539711600984,1746236379342960
2669.99,2676.46,2655.42,2675.26,91460438,6114915569217,1763285963221140
2681.89,2700.3,2675.7,2680.13,91769915,7106232672659,1766494708190580
2665.61,2681.93,2665.61,2671.49,75535021,5755763413260,1760802561870450
2694.59,2695.96,2665.18,2665.18,65803112,4889100065748,1756641528314880
2710.65,2728.53,2709.18,2728.53,117298295,7452667877689,1798397572898080
2725.61,2738.18,2720.99,2738.18,79090934,4903716941958,1804758771930920
2735.16,2740.08,2698.03,2700.57,106630284,6492510458079,1779969614257100
2728.67,2735.94,2711.73,2714.25,97346784,6036876102976,1787219171199240
2721.29,2725.76,2696.97,2711.79,95261264,5725581486786,1785602372808250
2717.32,2720.47,2706.99,2714.12,70520081,4707599921628,1787150468546990
2757.31,2761.45,2731.26,2735.51,112920617,7341513658924,1801233503245100
2734.37,2735.31,2703.86,2703.97,81863613,5703816708692,1780468942218000
2720.69,2736.14,2713.02,2722.55,87310363,5850541081871,1792610129817960
2711.27,2713.76,2699.91,2703.91,70665530,5233760908638,1780289256129200
2702.29,2711.85,2684.53,2703.06,92086638,6899578990746,1779730196840820
2699.33,2717.24,2685.05,2703.09,87962404,6850447865026,1779746417630410
2673.24,2674.94,2660.2,2663.5,89130357,7068380211395,1753677969203690
2671.55,2706.45,2668.26,2702.46,181373746,10815848704730,1779335168238850
2692.9,2710.22,2692.14,2701.95,118347485,7294966686449,1778732669184830
2698.55,2701.11,2651.67,2651.67,120973780,8917230828650,1745632708024470
2641.07,2641.26,2606.5,2606.5,97987109,7146817322802,1715893639292290
2631.05,2636.81,2601.69,2602.07,185959337,11815197501192,1712979735858820
2625.23,2663.48,2625.23,2652.7,132882685,9042192049791,1746308750461370
2637.98,2650.11,2631.57,2634.32,105861042,6386058406519,1734208805961430
2656.87,2676.87,2642.67,2667.58,97173274,7350490907958,1756101629629750
2700.36,2712.46,2686.42,2707.41,101665749,7971444209853,1782135166169600
2681.0,2698.11,2670.93,2678.02,87514210,7429707357584,1762687218386410
2693.87,2696.93,2677.51,2683.57,97935845,7325202435136,1766708688357980
2687.72,2711.5,2685.35,2707.88,106278178,7759029989111,1782592264326370
2748.28,2759.77,2735.62,2738.65,170837842,12961595584497,1802845609631150
2743.01,2755.09,2732.7,2741.36,126116723,10362380798961,1804633070993930
2735.81,2741.06,2719.08,2722.27,97462703,7250201723480,1791906066964410
2745.77,2755.42,2739.63,2746.34,113035912,7713056646519,1807753253562660
2771.39,2791.14,2771.39,2789.16,130324640,9235482861125,1835939700028030
2793.56,2804.41,2786.24,2797.92,106404141,7712668267882,1841598013675930
2783.02,2784.83,2762.53,2769.22,131384274,9217403842202,1822710343399180
2755.79,2767.07,2743.54,2751.08,95639825,6640782340639,1810768037703510
2750.67,2767.85,2750.67,2760.34,106054570,7157264782284,1816862444895850
2752.49,2782.1,2747.65,2782.1,92538710,6887943265291,1831187296510510
2755.42,2775.85,2749.02,2775.85,91609074,6369965573545,1827070523489850
2784.62,2787.28,2770.55,2787.28,85177749,6161007484073,1834592031336120
2782.1,2800.86,2775.58,2799.99,81822633,5719130456790,1842962953558360
2795.33,2802.55,2775.52,2779.82,91548854,7087503433630,1829684684656770
2797.16,2801.83,2775.96,2798.66,92926392,7014743329937,1842082442664790
2824.69,2833.32,2815.05,2833.32,113887041,9716913381179,1864898068765920
2846.17,2887.04,2846.17,2879.16,121428836,9996642699806,1895069967896710
2879.31,2886.48,2868.23,2870.38,97578464,6836319826605,1889293733436310
2885.72,2888.79,2864.4,2879.64,110249172,7431147754777,1892270715905390
2874.27,2882.3,2867.37,2878.23,97884599,7217174645452,1891344163989180
2901.35,2910.11,2890.2,2904.5,112377908,9065623908700,1908607565593940
2874.97,2880.88,2850.75,2863.76,136591942,10249824164734,1877154564852400
2876.14,2879.96,2850.38,2865.13,114142600,8077748599268,1878651928286120
2865.92,2879.81,2862.66,2873.43,112314603,8215860940624,1884189303477270
2871.2,2873.72,2845.63,2848.19,155146895,9530793570350,1867775195143580
2806.09,2828.08,2800.11,2828.08,183498257,10747539658954,1854570284371190
2802.39,2807.53,2777.97,2797.63,94431782,6650229669440,1834604818449000
2792.8,2797.22,2754.87,2765.77,92120114,7385345494434,1813655929094890
2794.44,2801.79,2767.47,2774.61,106436308,7921659400602,1819513536137960
2753.11,2777.63,2744.62,2755.17,101021775,7518873850043,1806740711797750
2715.47,2722.41,2702.3,2710.04,121924377,10134017610752,1777057337039120
2725.83,2738.84,2713.66,2732.23,158575520,9466769548793,1791461753904920
2750.24,2779.47,2743.73,2767.3,105829611,7026206224349,1814457414425540
2743.41,2756.21,2733.43,2740.2,107845402,6738985059161,1796765148958760
2749.12,2775.97,2734.06,2775.97,116646148,8317637556466,1820274035682600
2794.34,2800.01,2773.96,2778.38,93650785,7439802921149,1821861744880930
2715.78,2723.02,2666.15,2676.37,117078419,9204456813146,1759356333040750
2606.9,2606.9,2388.44,2442.36,208121783,13820189422660,1605529823802760
2542.76,2581.5,2492.31,2520.55,165817458,11676727147854,1656927336182280
2513.99,2596.88,2509.44,2567.66,122060234,9704637995917,1687896805301280
2526.49,2565.77,2514.57,2551.08,114912320,7965168376571,1676998823913880
2601.43,2601.43,2569.45,2582.5,92678891,6515161262982,1697650718604600
2596.83,2619.66,2595.86,2610.59,66719653,4812018695222,1716119566031380
2618.11,2630.01,2602.4,2618.66,76071111,5629099996282,1721428329119370
2648.54,2653.0,2630.43,2641.83,72112397,5401717902728,1736657320967240
2697.62,2703.63,2683.3,2701.56,93654666,7556751105831,1775925814333310
2701.71,2701.71,2664.16,2674.9,69779389,5354158369195,1758400906999480
2702.58,2709.87,2687.28,2696.83,72249106,5286570538918,1772562221195950
2686.25,2706.63,2684.18,2702.2,77608884,6359114335919,1776092210269920
2711.89,2713.55,2694.94,2713.5,75100603,5906163367213,1783516049940030
2695.97,2718.38,2694.19,2705.45,73096430,5991771466263,1778228909891320
2722.07,2723.72,2693.11,2702.11,86777360,6393694788551,1775366794009760
2700.04,2706.05,2685.07,2690.99,70167262,5701985027014,1768051748633360
2693.23,2699.4,2675.73,2696.48,94770989,8419410718661,1771657765034560
2659.87,2678.23,2652.0,2667.3,92659784,8751994346071,1752475818303930
2682.6,2692.95,2673.32,2677.82,105772134,7703291793977,1759384394858220
2688.25,2696.5,2663.37,2689.67,76705775,6522607482329,1767173764286450
2690.9,2702.56,2666.66,2666.69,80441179,6414850270425,1751749083190750
2588.04,2610.31,2578.75,2581.53,108622968,8267266281368,1695787033781280
2600.53,2618.21,2563.36,2577.68,111279244,7520589013448,1692430302174410
2578.94,2579.79,2532.98,2548.67,83179996,6206394208220,1673384338772290
2500.42,2543.88,2493.41,2535.28,78350844,5633283236941,1664590499236420
2541.58,2542.42,2519.37,2521.21,83785910,6314557216174,1655345092067210
2521.02,2522.06,2486.94,2508.86,100591858,7292664824526,1647232817655060
2546.48,2570.3,2534.18,2570.3,115662418,8747168199020,1687588427106930
2568.77,2580.35,2557.72,2569.62,82612689,6519851417275,1698222441784920
2588.86,2593.06,2541.12,2574.12,128184990,10608748928795,1701204719543300
2599.69,2616.55,2585.18,2587.84,132797153,11124482562907,1710278871520150
2590.0,2600.57,2582.2,2598.28,91684348,7117309321129,1717181613631940
2609.24,2628.48,2593.34,2628.48,96765779,8279876305733,1737147175861920
2650.24,2661.48,2590.68,2590.68,112166930,8831774428453,1712157191853720
2629.79,2672.07,2628.8,2672.07,113008076,9615142631507,1765961524363800
2674.9,2682.06,2646.66,2646.66,106963966,8929800423723,1748932538059020
2662.8,2666.27,2584.84,2584.84,100361932,8473444261727,1708067840239970
2556.67,2585.32,2547.26,2554.25,88000388,7404865540787,1687848306372860
2556.81,2580.6,2548.87,2563.32,80766923,7675783091006,1693843126275230
2572.88,2606.28,2552.91,2604.83,97055949,7744776521810,1721286424344260
2585.08,2596.76,2573.93,2589.47,83285581,6854196664780,1711132890311870
2607.41,2608.75,2589.71,2592.65,122556067,10174973711954,1713238301142620
2606.96,2616.7,2588.94,2591.39,79446002,6930427449799,1712401938372790
2597.4,2625.31,2597.4,2618.57,76056710,6091485113741,1730359771779700
2628.27,2632.54,2611.26,2630.1,88358030,7427439869211,1737979016484360
2600.22,2618.95,2595.58,2604.73,94146469,7330471311093,1721215366273050
2615.45,2617.61,2595.13,2602.49,109249500,7319868071848,1719735311012920
2609.73,2612.3,2581.51,2587.19,77294752,6299790408874,1709569718260200
2593.71,2614.31,2588.0,2600.44,78353504,5967742902611,1718418988465020
2596.18,2600.09,2559.61,2563.66,92638515,6682935247588,1694111828140100
2569.08,2608.64,2562.8,2599.14,93659733,7046703847119,1717566078808970
2590.48,2600.14,2575.27,2577.37,93456894,7413079139956,1703174538232880
2596.13,2611.2,2576.67,2583.16,95935643,7672791836828,1707507649044500
2589.23,2614.62,2587.5,2613.19,92946058,6824946224588,1727354827767430
2606.87,2619.12,2594.48,2619.12,92469535,6678096397656,1731278443437050
2605.86,2611.8,2581.63,2589.62,80927855,5974424993209,1711779323340210
2569.36,2572.45,2542.08,2542.08,111878648,8229590668635,1680355980149580
2529.14,2550.51,2524.1,2532.54,69764643,5330880673007,1673655633762860
2539.66,2583.83,2534.97,2583.83,71516205,5792781451499,1707547604434340
2563.34,2578.85,2555.62,2568.76,61380490,5139071001804,1697586685813490
2584.94,2585.13,2532.18,2552.74,92745866,7573974446681,1687004193608890
2546.45,2573.02,2531.05,2556.1,121723789,7749446918430,1689219905134850
2581.18,2587.7,2544.95,2552.89,98959578,6937999507933,1687100544122240
2554.64,2554.64,2518.59,2524.68,124740437,7713604373616,1668460181956460
2520.32,2525.38,2474.58,2475.49,127691414,8603219313464,1635948502364510
2460.25,2472.76,2407.04,2408.99,134634397,8229646641263,1594070363658610
2422.65,2434.0,2400.97,2409.03,167624278,10191589909633,1594097492614590
2403.6,2425.4,2382.57,2407.14,139534092,9147611107771,1592847598262190
2436.31,2476.87,2433.37,2466.37,127099659,8246434546748,1631711838193700
2466.48,2478.89,2462.5,2468.82,116162857,7169833989078,1633332586815880
2473.7,2487.47,2468.63,2479.86,86232913,5735778236350,1646880605538360
2470.83,2497.19,2470.83,2480.32,86463172,5961082562266,1647188367632290
2493.89,2513.93,2492.4,2503.5,88801603,5559059863281,1662578122377160
2527.97,2546.91,2520.73,2538.44,172677407,10485775842984,1685334677218840
2523.57,2530.77,2513.57,2521.2,98060041,6198947636156,1673887883836460
2518.71,2526.86,2496.28,2501.2,92493982,6372600521198,1660400347885160
2496.76,2509.98,2492.58,2499.2,76868137,5604033726170,1659203468046370
2490.37,2490.37,2439.26,2447.96,108410805,6949722308207,1625185800730830
2473.08,2477.74,2445.15,2451.78,94523032,5897810285668,1627720929249910
2469.93,2495.04,2468.31,2494.21,99779318,6672239123573,1655888633512540
2442.95,2477.43,2437.15,2461.01,181002544,10013655088766,1633848782066370
2469.16,2469.16,2433.45,2441.42,111424535,7201389912411,1620840182722340
2452.95,2463.6,2401.74,2429.93,126173867,8010364836782,1613212370920250
2392.88,2406.3,2368.0,2368.46,121043375,7536470977502,1572408904253880
2393.46,2421.09,2393.46,2419.31,111810236,6705281990763,1606167611074670
2412.5,2440.23,2411.3,2437.62,82434862,5284777317767,1618321474016890
2452.67,2488.1,2444.35,2481.09,134622681,9078223825975,1647182204973010
2471.39,2497.15,2465.22,2490.19,92183416,6203636871340,1653223346939260
2507.34,2511.76,2475.64,2482.28,84436262,5624982063858,1647886410821490
2478.69,2478.69,2441.47,2443.23,88343002,6394577492369,1621808790623310
2450.01,2483.72,2450.01,2474.84,78063619,6293202641804,1642791187829160
2413.59,2437.7,2411.67,2422.24,83867840,5906411671216,1607876593392930
2414.81,2416.6,2374.53,2390.36,99816203,6439554787451,1586763491827710
2410.19,2432.64,2398.57,2426.8,73010733,4824162241527,1610950627636470
2435.99,2438.45,2415.89,2425.41,57305291,3728804339862,1610027116006650
2434.76,2434.76,2415.01,2415.13,69970663,4284161129796,1603210362185500
2406.56,2412.02,2378.66,2396.0,62555879,4038615024865,1588658189265390
