시가,고가,저가,종가,거래량,거래대금,상장시가총액
2289.47,2297.72,2283.15,2297.72,237230662,888272558812,89348480770176
2292.4,2292.54,2282.06,2291.04,277080169,1160421599166,89081874860536
2291.11,2291.11,2278.99,2281.52,436249193,1568207481276,88700243453192
2282.92,2289.82,2271.26,2273.59,234911104,1007445705914,88408621788839
2276.9,2279.37,2272.29,2274.03,162947859,637546330363,88421383561253
2280.22,2291.38,2279.38,2291.38,385109009,1273941220129,89164258500044
2294.61,2295.61,2288.02,2291.55,337999947,1507385462162,89169966133434
2297.55,2302.19,2295.38,2299.78,464837024,1485382258373,89492063817617
2301.27,2304.65,2279.47,2285.36,312625106,1486447031473,88929518876823
2284.79,2288.66,2275.1,2279.34,413855345,1455685695603,88691229045177
2280.47,2285.69,2260.64,2267.88,425123591,1729449422918,88246482489436
2268.36,2268.36,2222.75,2226.46,399653289,1690782399949,86638203423492
2227.16,2245.74,2226.37,2237.71,285928354,1212866953553,87067119987759
2245.34,2264.57,2245.34,2252.95,301966654,1348146360331,87674828412511
2256.2,2258.04,2241.04,2243.8,182801557,865769775042,87322460967353
2246.93,2255.61,2239.43,2246.47,264963008,1323147615617,87431052759327
2249.7,2251.88,2229.03,2229.95,215696678,1195079419721,86787055272384
2231.82,2232.33,2213.97,2228.5,186049315,884318501573,86727646107132
2228.08,2249.6,2224.32,2244.26,148762071,912195643571,87346614685194
2248.85,2255.2,2238.03,2251.94,209243024,961419966046,87652208775431
2257.34,2272.73,2255.33,2263.18,273295263,1093434294692,88097011449957
2261.33,2269.49,2246.93,2255.39,257236474,1194603086431,87798212621818
2250.5,2290.01,2249.38,2290.01,392130678,1603063565817,89163758409139
2299.08,2322.72,2296.52,2321.29,280824121,1167648524117,90386651629888
2327.47,2330.29,2311.13,2330.29,249832121,900878263880,90752258475045
2328.15,2330.88,2306.35,2310.43,215469154,1046369499997,90030847999211
2311.09,2328.99,2309.71,2328.39,203745461,931627310482,90735268124788
2327.8,2331.24,2325.02,2326.81,171125710,951131348541,90672861274713
2331.14,2350.07,2331.14,2347.69,207000422,1205294827002,91612493186188
2337.98,2350.0,2333.53,2350.0,260243401,1190609917511,91703267753587
2355.67,2355.67,2339.99,2341.77,338801291,1225224407276,91381586284018
2345.06,2353.41,2337.1,2352.37,346916594,1252334030399,91794569389956
2354.57,2382.12,2353.94,2382.12,212679337,1029773581835,92955126098386
2383.06,2383.64,2367.7,2374.53,427747325,1418463704232,92661939531726
2374.17,2380.12,2359.91,2365.29,389756029,1608309828232,92302258131627
2367.25,2367.95,2361.3,2365.7,269414434,1005286545136,92318772559470
2367.96,2367.96,2356.07,2359.43,225547051,978968164437,92079249752624
2358.67,2358.67,2335.28,2337.14,323933821,1156740632307,91210337483487
2338.99,2339.45,2309.39,2311.92,363060787,1264511015880,90227441810214
2313.67,2321.02,2311.28,2320.6,239024486,1005910233135,90566140303369
2320.44,2322.29,2314.55,2314.8,228315030,699847496515,90342228827332
2322.11,2328.93,2318.52,2323.89,172003677,718913439467,90247388256674
2321.69,2321.76,2313.55,2317.94,197207187,990601938138,90008957165259
2315.53,2319.72,2311.52,2319.43,193559227,820350992808,90111685144128
2323.12,2325.12,2299.39,2301.92,283049472,1089387030590,89430892577994
2308.42,2316.5,2302.92,2310.34,279368229,1047778512003,89761006620333
2310.56,2310.56,2301.54,2304.78,223573216,796869439780,89547799531543
2307.43,2308.6,2296.52,2303.76,220669833,1169269121466,89508897008337
2307.55,2312.59,2299.15,2312.59,200280125,1143307756553,89865730709938
2314.69,2320.77,2311.46,2320.12,256045735,1151475487604,90157417541051
2321.49,2323.01,2307.73,2315.9,248134569,1139520000749,89144197286366
2320.95,2327.42,2320.95,2324.78,217921538,1268832395955,89481890418384
2328.73,2328.73,2316.04,2320.49,500006793,1946198261152,89316140490713
2325.22,2337.47,2325.12,2333.97,530894424,1840075100326,89830557910831
2339.23,2353.11,2339.23,2351.52,615810835,1968261755050,90509202475870
2353.89,2361.5,2346.38,2360.51,317309080,1434935288460,90997293277326
2363.96,2365.2,2358.52,2360.45,309398182,1316072863246,91014935305906
2360.32,2363.26,2355.25,2358.81,261598841,1083375385578,90951955439046
2359.15,2360.81,2345.99,2348.68,204610226,1066200773390,90562641066475
2347.98,2353.1,2335.08,2337.0,190731545,842505461122,90113470398508
2341.92,2343.98,2325.37,2329.33,242229518,1131969039343,89821177038251
2331.99,2345.16,2329.1,2345.16,185822570,689057797002,90421410270284
2344.51,2344.51,2320.26,2325.51,222571076,889624014879,89659153987119
2320.84,2320.84,2304.99,2313.44,165263862,758652443179,89197519643895
2317.38,2326.6,2314.85,2326.59,219702005,1282386051051,89708280518212
2320.43,2323.81,2309.58,2312.19,333942224,1378586061697,89147883486289
2315.6,2317.01,2294.96,2296.11,305267545,1174395457472,88531188142014
2299.17,2306.55,2291.89,2296.42,233587086,1213922703803,88553147685659
2289.24,2292.89,2269.19,2289.43,237539222,1277827776668,88284043581298
2293.17,2302.21,2288.72,2293.3,260626055,1620117506157,88439078520375
2286.28,2287.96,2268.9,2287.82,308196194,1821838038908,88229059875796
2282.2,2282.7,2243.13,2247.31,343089823,2191829359940,86505011404387
2252.35,2264.63,2251.53,2251.77,238266495,1504314093187,86685162502392
2257.86,2287.65,2257.86,2287.65,265024763,1410293361969,88065530767353
2286.33,2287.02,2248.04,2270.81,366346871,2497090497912,87422910461937
2271.62,2286.46,2271.62,2286.29,180095523,1020206842802,88035689634475
2291.93,2299.87,2285.52,2294.97,181608542,805983856212,88370062714609
2302.95,2314.27,2302.95,2314.0,126449882,793828867766,89104366799114
2311.71,2315.0,2306.83,2308.8,147811748,1034112037951,88913520643279
2313.47,2321.03,2310.84,2321.03,250743135,1520151210187,89381852852847
2324.62,2342.42,2323.93,2342.42,266278598,1385383275733,90211815229903
2344.61,2352.65,2341.79,2347.11,231180819,1201061098571,90390697021590
2344.97,2346.98,2339.32,2343.28,182184635,831425983785,90246858037060
2347.1,2348.55,2340.86,2342.44,185610043,1098775233145,90216289792591
2350.83,2356.13,2347.17,2356.13,322644055,1589606400004,90719706104185
2357.63,2368.5,2355.63,2368.5,231299872,1201069402252,91204574375863
2371.95,2376.74,2362.16,2366.36,208505008,1097521343900,91137242839451
2371.73,2379.08,2369.85,2374.61,317757045,1990218554830,91457872332721
2381.01,2388.83,2375.27,2380.59,355226318,2397955599111,91627704699250
2385.28,2389.14,2380.0,2386.11,241527821,1431084299044,91865371610946
2395.54,2402.07,2394.43,2402.07,241037603,1465877521980,92487978247025
2400.84,2400.84,2384.53,2389.56,338230091,1540512512813,92163028655447
2394.95,2399.67,2393.68,2395.94,352845177,1921284206330,92411039268976
2401.06,2401.06,2387.9,2391.75,378990746,1718944963707,92245658673575
2396.48,2399.46,2385.91,2389.09,257491724,1442218860939,92156297260814
2388.09,2390.74,2371.0,2385.43,223403977,997229771131,92024039398198
2379.59,2389.09,2371.87,2385.62,311126468,1967286017943,92648152256220
2393.28,2394.57,2380.84,2389.12,244842680,1719721612598,92785109065480
2394.34,2401.27,2392.7,2396.52,242607394,1865683928835,93073010385257
2400.52,2400.52,2377.51,2379.27,210808894,1435796467618,92406613331226
2375.2,2375.2,2355.93,2357.91,194580687,1367595193524,91586311352992
2360.29,2371.79,2360.29,2365.32,199380850,1347244649495,91875194894670
2371.62,2401.87,2371.62,2401.87,412998978,1858850846009,93294744970151
2401.97,2403.21,2377.94,2381.76,415533240,2340827235147,92526337915806
2385.09,2392.05,2369.91,2380.43,511316862,2739330397502,92474384453033
