시가,고가,저가,종가,거래량,거래대금,상장시가총액
2961.27,3025.54,2949.02,3025.54,230900586,6055608016463,220888661023277
3022.16,3073.55,2998.92,3073.24,508959424,7966485214893,224369026119657
3078.11,3100.75,3056.07,3064.61,352876369,6591085369013,223773734510117
3077.97,3129.44,3077.97,3121.44,406838496,5630225624849,227953819220075
3132.35,3160.13,3119.17,3135.97,283459401,6316534102954,229038409677402
3139.84,3148.05,3010.36,3067.45,298687331,5579344964211,224016857681964
3063.68,3089.6,3010.36,3060.97,212731595,4929124707978,223569297268172
3064.43,3092.77,3055.93,3076.44,228584467,3383036893334,224698906541734
3077.05,3112.19,3073.2,3105.87,271230846,4815575843468,226843014827157
3113.8,3134.92,3059.64,3070.66,247683045,4784057056842,224689696645468
3064.36,3064.36,3000.59,3003.18,368099530,5091830282694,219766918736787
3006.26,3075.15,3006.26,3070.05,303611137,4934318639249,224638363468653
3070.81,3100.84,3054.0,3100.84,265390063,5018931089386,227107119174192
3106.31,3152.19,3106.31,3152.19,271100818,4982403875513,230907279829850
3156.65,3187.14,3138.69,3159.25,195265421,4797960632509,231444212403155
3165.24,3201.14,3165.24,3199.5,349924098,3859753530750,234409419709015
3203.54,3210.92,3157.42,3167.31,194674361,4781858142773,232252122726706
3172.59,3189.42,3135.32,3139.93,153741015,3433572372449,230192740921004
3128.16,3128.16,3054.54,3071.5,162988955,3364252239484,225150016674859
3076.63,3102.18,2925.97,2968.67,190422313,4518782557199,217686554658905
2963.65,3059.14,2927.45,3057.58,147949590,3646174780849,224198792578775
3065.1,3113.39,3055.04,3086.97,164233472,3344245658129,226357265629929
3094.18,3127.09,3082.38,3126.75,179866626,4626895683822,229315173372752
3129.8,3135.8,3077.52,3100.42,221136264,4099615126359,227366222891300
3105.9,3136.69,3091.1,3130.94,190912745,3610754086110,229582299700844
3135.88,3155.2,3116.76,3138.56,141755612,3342424761565,228590994585385
3144.11,3160.79,3135.12,3135.12,125288597,2582801268815,228279444228180
3137.23,3167.5,3112.12,3162.46,123498401,2707468500608,230338774037818
3168.79,3183.97,3161.75,3179.19,127996217,2789743037361,231633654924138
3179.82,3186.54,3159.14,3178.83,230958653,2769659861971,231679994903571
3178.31,3178.31,3146.76,3169.26,374090834,2912189146557,231028426171907
3168.07,3185.16,3138.26,3138.26,253812098,2841645699838,228836045663736
3139.29,3152.99,3064.55,3145.03,202875810,3082516808407,229326545202977
3150.19,3187.8,3135.42,3137.48,212695944,3410402447602,229189986058984
3131.79,3140.22,3085.18,3123.92,409653554,3115143197343,228259486933501
3124.84,3139.46,3018.6,3020.68,247261534,3277321098152,220712306833451
3039.25,3109.28,3039.25,3109.27,164122271,2532225317578,227173997276888
3096.56,3096.56,3018.64,3076.87,189748149,3539471461763,224775456498834
3085.52,3126.59,3052.6,3075.51,147694862,3180023115227,224687464505283
3072.22,3112.05,3067.98,3109.73,135123561,2706667313364,227252647024034
3102.56,3102.56,3053.64,3085.88,129629035,2724357989056,225599673300071
3074.68,3078.8,3023.16,3077.9,233568942,3295191045471,226423208175251
3083.79,3103.17,3028.72,3028.78,297822013,3104167537326,222784110658567
3031.71,3049.26,2959.54,3003.0,256911533,3497897252213,220886400723557
3008.5,3038.21,2975.93,2981.39,157076168,2345051592552,219295917376812
2984.87,3025.69,2984.84,3016.09,183641231,2656559958720,221736641160823
3024.11,3066.99,3024.11,3065.75,179234474,2281620424034,224864313668095
3069.08,3096.73,3060.04,3091.98,204098554,2096983716591,226790828381660
3096.3,3129.84,3096.3,3129.84,138506171,2088682958251,229562701201039
3131.9,3138.57,3109.1,3138.57,113206567,2458972391515,230207257735037
3143.07,3155.89,3129.38,3131.64,128921523,2103638971679,229690403516522
3127.13,3132.47,3086.8,3131.39,160488987,2150289310509,229676955499118
3134.15,3147.65,3121.64,3144.13,238414026,2523535042610,230620629830066
3147.58,3160.55,3098.86,3101.5,190187151,2619449151440,227492630750583
3097.65,3106.06,3061.55,3103.82,128849049,1822363145534,227614937213789
3102.34,3130.75,3096.62,3118.98,164258654,2313367481382,228738771397464
3123.53,3165.36,3123.53,3162.45,201906826,2495412833397,232296439814725
3169.86,3184.11,3156.25,3163.5,246273694,2872091387012,232378441382446
3166.04,3177.66,3157.8,3173.7,285425371,2463353954225,233135138310999
