시가,고가,저가,종가,거래량,거래대금,상장시가총액
4068.41,4071.59,4048.07,4070.73,331687737,2146698314248,219623825881046
4081.8,4106.12,4070.63,4106.1,499212168,2550175536910,221550857067513
4108.0,4109.53,4084.19,4096.33,606028140,3538153702403,221043824666248
4060.48,4085.58,4036.54,4038.3,629866454,3207658167183,217995713160701
4051.76,4087.07,4051.76,4086.39,426622536,2334605782140,220597048629791
4083.72,4089.1,4039.12,4050.56,334478653,1982752835269,218685428330818
4052.9,4057.81,3991.88,4011.18,427511911,2534419294933,216562154865354
4023.67,4058.03,4023.67,4058.03,305459675,1891140032766,219055197126956
4070.11,4076.51,4048.22,4056.44,449784307,2393512430070,219017446287171
4037.12,4047.45,4022.37,4035.14,382637014,2129598897770,217891246358233
4039.1,4039.1,3982.6,3987.6,449305824,2788275956888,215319503174050
3990.48,4010.3,3945.27,3950.86,420593556,2653968941602,212464761270434
3921.29,3954.19,3902.93,3912.45,333479027,1871472052140,210404491323000
3911.55,3960.28,3900.66,3960.03,278237298,1772573593297,212986253215302
3940.69,3957.96,3911.45,3925.12,393537140,2449350303273,211098099846239
3906.06,3906.06,3815.05,3825.92,357310765,2426903425047,206505189054207
3833.67,3842.56,3706.63,3726.62,492581642,3136758591833,201157719931106
3727.87,3768.25,3715.32,3728.3,359031938,2058571618963,201248887329016
3728.3,3743.04,3604.36,3611.7,307569131,2210399168379,194969059601763
3543.69,3568.71,3478.2,3520.99,281121114,4094600241947,305294377146272
3574.37,3730.1,3549.98,3675.65,305992284,4435493420035,318690273694680
3671.34,3777.62,3668.55,3774.81,423657077,4855348770639,327279624118379
3828.32,3906.54,3798.16,3906.45,279588944,3963564700407,338678614605627
3932.1,3987.28,3821.21,3871.07,423467521,4077276037602,335615352005292
3915.31,3923.32,3796.9,3815.83,417596613,3709440025486,330829874921379
3811.3,3812.22,3694.93,3706.99,323659944,3569029125103,321402965079516
3659.02,3716.91,3636.75,3693.5,312971030,2652555860197,320236127685133
3647.05,3660.91,3589.72,3597.34,464866424,4464649191645,311909527634225
3591.31,3616.63,3510.7,3520.58,444057837,2671107100706,305266355342775
3588.54,3597.75,3561.5,3588.66,309492081,2307815000624,311163582947450
3590.89,3627.07,3536.16,3587.37,396761874,3018964340903,311088134361933
3549.24,3606.16,3545.18,3606.04,369207626,2288373407170,312707524827490
3577.62,3606.26,3560.38,3604.15,380438048,2141473535504,312586442838719
3560.96,3579.1,3536.63,3537.32,481818631,3574178716508,306798710331589
3559.72,3582.43,3540.55,3574.21,395355331,2939481323316,309997664737777
3542.67,3560.31,3458.37,3464.17,755195206,4926942386370,300465779167120
3512.89,3534.18,3494.3,3506.98,506588972,4698777284986,304164241685480
3471.97,3535.6,3467.15,3508.67,371117560,3224784967029,304312354141173
3498.02,3583.55,3492.81,3581.03,352198791,3078746939439,310577091552025
3610.6,3622.27,3585.21,3617.72,436165931,3063351603698,313757622698430
3608.57,3619.38,3578.23,3592.75,523569225,3256276657450,311588963381497
3567.03,3567.03,3511.44,3516.69,371410182,2830833627635,304980366509156
3475.58,3507.29,3448.61,3468.45,350595827,2890780007165,300803897886048
3520.33,3548.75,3510.68,3512.47,395818985,2558502888150,304620034286270
3519.35,3541.49,3519.35,3539.81,610029740,3012386069684,209197202678569
3541.15,3541.51,3494.83,3501.44,466171704,2759112645559,206958516034844
3494.45,3502.94,3475.24,3482.85,451376651,2220575046519,205838157208875
3513.29,3528.82,3497.14,3528.43,605916956,2725101415573,208594920955763
3556.22,3563.09,3545.37,3561.47,369063172,2492194434156,210547037134691
3577.25,3593.34,3575.22,3589.98,484430773,2980658386918,212230301198388
3600.1,3602.59,3582.86,3588.15,381868764,2120789191581,212167883239353
3591.67,3615.39,3587.73,3615.39,365478692,2282114707281,213304221993030
3629.5,3643.66,3629.44,3642.05,741570567,4500365188209,214914823064657
3640.18,3662.49,3628.79,3662.49,806891737,4460307255509,216122030717463
3672.43,3674.65,3660.85,3666.77,477556892,3638080538337,216408382896867
3668.12,3669.19,3648.98,3661.39,613458905,3737560007246,216114197485248
