시가,고가,저가,종가,거래량,거래대금,상장시가총액
372.04,372.04,362.25,362.74,2251748,60955930955,23937384369000
362.88,367.21,358.4,366.03,2320225,56878453005,24154772077110
366.81,372.06,366.14,369.1,2723267,54297351530,24357345731925
369.83,370.97,364.69,369.01,3387858,70422068345,24351320911670
369.12,373.6,368.07,372.13,2126797,50784786330,24557190052415
373.83,375.45,371.59,373.2,3708321,83742692420,24627433704860
372.79,372.79,368.52,369.63,3784606,90647540975,24391931082575
370.4,370.43,367.53,367.9,6455197,95646546655,24277703551310
368.3,368.55,364.4,364.4,6183550,113527690557,24046736400225
365.65,368.96,365.47,366.77,3931857,85809003175,24203030109810
368.9,373.43,368.12,372.0,4447739,73926183220,24548180036340
373.56,374.06,370.17,373.11,3000144,61435442401,24621453908340
376.67,380.57,374.87,376.34,3566475,90699614320,24834747555105
375.69,383.34,374.5,382.34,3192999,83865543480,25230728148240
382.21,383.66,378.35,381.65,2334191,52941650760,25185515849980
382.72,383.25,376.49,376.49,2854932,80575801461,24844826665687
376.85,378.46,374.67,375.85,4654828,98846552474,24802281657918
375.86,382.19,374.41,381.19,3523064,97795035258,25154877501966
380.36,380.9,376.37,376.38,3174587,75471894892,24837293730500
375.67,378.3,373.58,373.82,6859886,84798471112,24668428446821
373.95,374.53,368.8,369.35,4384409,109402903077,24373509668153
371.07,372.75,369.77,370.98,4674405,84676452905,24481088010521
369.71,370.59,362.63,369.95,6439740,134607789240,24412841332482
369.05,370.3,366.17,368.11,4877496,95880607424,24291678302082
367.16,368.1,365.71,367.81,4615044,98430812479,24272023602250
368.27,368.27,365.81,367.75,4955672,102082760740,24267672238873
369.2,374.22,367.71,368.7,8018397,242694003528,24330742825886
368.12,368.43,364.53,367.56,5710465,157467519008,24255518630945
367.42,371.94,367.03,371.39,7779981,129424655400,24508224180155
373.08,373.42,370.38,371.6,9255118,107664167175,24522118067886
372.61,372.75,363.75,365.87,6598988,111762835499,24143794267002
363.42,363.42,352.15,355.17,13166244,283562947547,23437673891030
353.81,356.53,350.58,354.96,5622599,149656242225,23423865212769
356.76,358.53,355.15,357.65,3421441,84171012717,23601326615442
357.39,358.6,355.58,357.38,3651099,70989018884,23583856373667
355.42,357.7,353.99,356.97,3869763,88377025960,23556885827231
357.42,358.17,353.24,353.78,4674301,100373548562,23345874308632
352.86,352.87,348.82,349.71,7434923,198721493202,23077298450662
348.8,348.8,345.28,346.22,4161432,101782706604,22846937699098
346.66,352.2,345.61,350.62,4567377,100460908742,23137665239997
351.25,352.48,348.93,350.19,4201824,100608741972,23109732120913
349.85,351.78,348.88,351.75,2622703,61010196534,23212341645144
351.97,355.52,350.1,354.59,2843031,70571849861,23400132268075
354.55,360.94,354.47,360.72,4831669,113582163118,23804661217085
357.49,358.5,354.83,354.92,3259493,83830198572,23422139779540
355.85,360.81,353.19,359.75,4199725,108642410843,23740870634130
356.64,357.83,351.73,352.49,3700344,74555012106,23261769573390
350.32,352.75,347.34,351.42,3390759,66554649165,23190904629510
350.04,352.94,347.7,349.87,4202178,92620006250,23088543917017
351.41,356.22,350.62,356.22,2833885,62744174297,23507647573313
352.54,353.29,350.39,353.29,2924697,54779045570,23314457930337
353.7,354.67,350.38,351.92,4321543,89888756183,23223946649497
353.04,359.3,353.04,358.04,3009343,67657906509,23627544200804
359.49,363.75,359.22,363.35,3340076,89391867486,23978317988634
362.52,363.74,360.48,361.75,2279259,52269607739,23872602959886
360.03,360.08,355.72,357.51,4479207,106046430579,23592537632821
357.68,359.48,355.57,358.84,3814744,83384383689,23680317540394
360.63,361.83,356.26,359.36,3025057,62015524878,23715108444017
358.62,359.22,356.64,359.05,2791222,60862809140,23694133153625
358.62,359.61,354.92,357.4,6368432,153697530445,23585161428131
354.86,355.41,351.31,352.27,7133695,166049816919,23246631085377
351.34,356.46,350.05,355.95,6297242,127131381920,23489916217184
354.69,354.93,353.03,354.88,2847555,65587728830,23419197510821
354.59,360.37,353.49,359.28,3763143,87961549549,23709746116652
360.56,363.08,359.75,361.09,3801226,75930789740,23829292806634
361.57,362.44,359.38,361.25,5564667,96457823155,23839278130696
359.79,360.65,357.9,359.32,1947025,42208348511,23712325958460
358.03,360.2,357.13,359.57,2918276,61327813072,23728403682784
359.15,363.13,357.49,362.11,3848648,81061910917,23896311194071
361.46,362.7,360.61,361.82,3294838,70123726856,23877412818686
361.6,364.55,360.67,363.55,3979924,82763501991,23991526404419
363.16,366.39,362.64,364.34,3190147,67013185518,24043529421583
363.61,364.78,361.47,364.35,3891675,54169122837,24044389876037
363.7,365.54,362.59,365.07,7364542,61875311300,24091830880568
365.38,367.49,364.46,365.02,4929092,56978826482,24088210499779
364.14,364.69,362.06,364.42,4007951,61805939079,24048721000963
362.87,363.96,360.6,363.96,3094204,59402010710,24018587086448
361.92,362.28,356.55,357.15,3179641,66300641493,23569306437453
357.67,360.75,356.09,357.78,3151547,69616442189,23610256415267
356.95,359.11,356.35,358.18,2299834,51471541517,23636878122825
357.91,358.62,354.28,356.06,2566231,46603192333,23497269527696
356.75,359.21,355.93,357.54,2928898,53450953955,23594786879395
356.44,363.51,356.14,363.22,3334193,64761099848,23969817343639
362.3,362.3,359.46,360.3,2441508,41185298119,23776630270316
359.3,362.48,358.56,361.2,1851706,44597391834,23836554797710
361.47,365.61,361.24,364.39,2225501,51748378039,24046894998521
364.14,368.71,363.22,367.08,3500438,96791431096,24224311118048
366.65,373.36,366.5,371.89,4038036,92999634811,24541658907641
372.75,376.04,372.39,373.53,4028691,91073559367,24650082732511
373.98,377.87,373.51,374.59,3991643,99177355325,24720072518555
373.66,376.04,373.02,375.98,2448986,61063086542,24811667946678
373.89,374.99,368.35,368.58,3693286,79155165952,24323358071943
366.51,370.09,366.07,367.32,2278160,51030760192,24240388808816
368.13,371.35,368.07,370.27,2488925,56385479318,24434890093366
371.49,373.94,370.87,371.67,2723250,64715337096,24527493369923
371.61,373.79,369.89,370.8,2463918,54565214410,24469463935580
371.99,372.57,371.0,371.5,2883364,47007556683,24515850905059
371.66,373.69,370.65,371.48,1768256,43843774117,24514604585976
369.96,372.48,369.37,370.0,10899786,84887894236,24417185249403
369.47,371.63,368.74,369.68,2832552,49591806863,24397541103682
371.04,374.7,370.12,374.43,3350479,72614808245,24710959371486
374.7,374.81,371.37,371.37,10292376,263757302169,24508979419687
372.33,373.09,364.79,365.09,4950862,79138284150,24094406287911
365.78,366.86,364.24,364.8,4962067,61481050910,24075242712469
365.87,369.04,365.7,367.87,3604475,47169499936,24277755532236
369.39,370.34,367.57,367.94,3144689,65912216006,24282507905203
368.01,368.93,366.19,367.14,4033961,93442689747,24229512336812
368.06,368.06,363.99,364.77,4308572,92056502309,24073211313823
365.53,367.98,364.55,366.12,2418573,53603493916,24162704742870
366.86,366.86,365.06,366.37,2811516,61336967166,24179117940095
365.7,365.7,363.26,363.36,2342467,54001058868,23980411637416
363.4,364.02,360.02,360.38,3519254,69809009491,23783598935644
361.67,361.67,356.75,357.27,4981932,137870347724,23578452074892
356.72,357.36,355.39,356.46,7837714,58596829746,23524971939260
356.76,359.02,356.49,357.96,6115973,52290918489,23624156432199
357.73,357.99,356.18,357.17,2956821,49929688537,23571686498050
357.67,359.9,357.11,358.93,2955325,45427852287,23688374644188
358.34,358.64,356.86,357.68,2820720,50030277387,23605413673455
358.16,360.0,357.01,357.82,2069332,42023485118,23615141185515
357.58,359.68,357.0,358.87,2725077,54547367093,23684136031741
359.32,361.56,359.23,359.48,2813620,53645329689,23724854155296
355.83,356.31,349.41,349.41,4731881,97564322452,23060291740300
350.22,352.74,349.72,350.89,2555358,54679384339,23157940246507
350.97,352.6,349.99,350.19,2591821,54497087588,23112285470986
349.68,350.52,346.14,346.32,2837397,68039343926,22856276411176
345.9,346.93,342.71,342.78,2842873,64328324986,22622673962380
343.04,343.04,338.25,339.0,4868244,111118849451,22374806540328
337.93,338.0,333.55,334.86,3617234,83096877752,22101546261191
333.84,339.14,333.43,336.32,2522475,59343321679,22198052417759
337.84,340.78,336.55,340.25,3372089,58281306540,22457265644618
341.96,346.14,341.3,345.22,2482150,51596034709,22785333941494
345.57,348.7,345.57,347.69,2417591,54027798502,22947919391097
347.66,350.57,346.86,349.0,1988141,43136593672,23034768610609
348.27,349.38,344.39,345.53,2014541,42676001932,22806070429544
344.94,345.65,342.47,342.87,1749445,33706545426,22630640723907
343.95,345.06,340.5,340.91,1836873,38199342993,22500879649282
340.62,343.88,339.95,341.28,1762868,36999463430,22525355864547
342.62,345.86,342.11,345.29,2362758,49231542577,22790279374467
345.25,345.25,340.53,343.4,2767588,51684263791,22665153860384
342.57,343.13,338.37,338.85,2555642,45887103582,22365288986620
337.85,337.85,331.37,336.36,5663836,93262207755,22200932285053
338.62,346.29,338.05,345.5,3158546,72586319995,22803998376707
344.04,345.03,340.12,342.63,2154319,51715510181,22614471919980
342.94,343.8,341.48,342.35,2614367,57827412492,22596186564449
342.45,351.66,341.27,351.27,4309298,104011929741,23185170600513
351.29,351.29,346.87,348.61,2343221,57925305668,23009545312872
350.2,350.93,346.03,346.03,2584185,48360617050,22838942191928
345.81,350.43,345.04,349.09,2936179,40299560276,23040782899243
348.91,359.36,348.91,356.38,4794455,118558101787,23521951367682
358.74,360.22,353.41,354.15,3806906,84345536383,23375118758530
355.86,356.89,352.32,355.4,2908519,68013713075,23457818205045
353.77,357.17,353.31,355.43,3243763,66164201572,23459600258627
356.28,357.8,355.21,357.12,2395902,55029120851,23571269558313
356.99,360.8,356.99,359.4,2468644,57217318841,23721425997058
359.32,360.76,357.16,360.47,3040295,66836838454,23792481003651
359.67,360.63,357.17,359.71,2634531,59930913381,23742047065549
357.67,361.47,357.37,360.42,2179460,49846844934,23789127202634
360.94,361.08,358.85,360.85,1747847,39038606769,23817206631291
362.18,362.18,358.43,359.19,1685323,40329819792,23707548557585
357.94,361.13,356.95,360.09,1845979,41030699557,23767170676992
360.5,361.9,358.92,361.48,1995151,42726802474,23858942444793
359.9,362.62,359.64,362.26,1751429,42384456275,23910406356186
363.91,364.81,363.07,364.72,1877909,43024736210,24072717984143
364.76,367.76,364.76,366.86,2198352,47606774859,24213809171039
368.75,369.79,367.24,367.98,2371030,59609349700,24287834463938
368.51,368.76,364.77,366.44,2876614,60523798441,24186243708108
364.02,368.29,362.6,364.49,2001378,48015796803,24057741173604
363.14,365.51,362.9,364.08,1576955,44162507123,24030475339910
363.65,364.86,362.85,363.84,1311925,30582456934,24014421728963
