날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,5054.01,5085.23,5036.47,5064.43,14058722,408258391058,135054946569535
2017-01-03,5084.13,5148.96,5073.56,5143.14,13596069,435945097920,137213865706435
2017-01-04,5142.44,5152.27,5118.93,5148.21,12470604,443285272188,137415349866115
2017-01-05,5155.55,5157.41,5118.79,5137.62,14787377,418935614980,137179590874745
2017-01-06,5137.48,5149.65,5120.88,5127.94,10920678,349291348515,136956452260965
2017-01-09,5123.72,5128.46,5088.56,5103.8,11708980,411003693720,136319752623690
2017-01-10,5087.61,5106.41,5077.53,5102.59,12672579,446320017867,136144170309565
2017-01-11,5107.03,5199.9,5107.03,5186.72,13559193,578679864679,138338432877050
2017-01-12,5211.75,5236.2,5200.58,5236.2,22334744,554902038445,139619669711790
2017-01-13,5219.57,5269.68,5217.49,5263.74,14128048,495633429475,140323768556630
2017-01-16,5274.39,5275.97,5208.03,5248.58,12731406,430228308465,139952255451985
2017-01-17,5265.36,5296.33,5245.24,5277.66,17983032,550213755534,141879686069105
2017-01-18,5272.3,5272.3,5202.79,5210.84,14997226,492375965203,140056854890550
2017-01-19,5204.87,5232.99,5164.77,5193.26,15985811,527252115725,139668285112940
2017-01-20,5168.3,5186.51,5133.3,5145.87,14962320,525984720441,138359420497215
2017-01-23,5159.21,5161.88,5125.29,5130.31,16594207,431886908275,138023339230340
2017-01-24,5133.22,5161.01,5117.52,5155.02,15545003,458781908597,138608673836065
2017-01-25,5182.7,5195.48,5128.65,5149.26,10187795,382790618669,138423204902325
2017-01-26,5169.18,5191.98,5126.76,5153.88,9122926,409821724755,138640811049740
2017-01-31,5137.41,5162.42,5091.29,5091.29,10647001,478223953528,136857795250440
2017-02-01,5107.86,5154.31,5097.21,5151.0,10540048,479528323540,138436683018905
2017-02-02,5144.01,5205.04,5102.73,5117.66,13287741,666676663040,137616821014130
2017-02-03,5116.44,5130.72,5071.45,5090.41,12314477,684858331118,136896167106050
2017-02-06,5134.29,5140.81,5053.74,5064.57,9964248,438080868860,136255517010610
2017-02-07,5058.94,5072.16,5035.79,5047.51,11170092,407492164680,135747587008270
2017-02-08,5044.02,5044.02,4967.2,4985.99,11192350,568855071895,134048157887530
2017-02-09,4996.84,5020.94,4983.27,5004.37,11533339,447265723300,134447251950380
2017-02-10,5034.55,5079.8,5028.58,5072.64,13225800,560490429390,136275108840430
2017-02-13,5095.33,5141.15,5080.56,5123.27,11896383,497628946973,137617516135395
2017-02-14,5151.19,5181.28,5121.4,5141.88,12791377,546409640629,138048468966265
2017-02-15,5161.31,5215.86,5160.71,5199.6,12291165,523871841788,139567694345615
2017-02-16,5205.36,5208.68,5126.81,5131.69,9416512,477213623674,137760878411610
2017-02-17,5138.52,5173.12,5120.92,5148.47,8232400,350103208199,138223467277090
2017-02-20,5146.23,5146.23,5100.49,5120.37,9008837,386242875810,137477886516210
2017-02-21,5125.39,5145.74,5118.15,5145.74,10079188,456081953555,138168052014270
2017-02-22,5139.14,5142.01,5117.08,5121.29,15727426,726597853501,137437389412585
2017-02-23,5125.67,5130.15,5103.47,5129.85,12189178,541901987025,137680604021790
2017-02-24,5144.56,5180.19,5133.42,5156.06,14333837,691220404676,138456336559045
2017-02-27,5167.89,5176.83,5123.41,5157.64,10172958,476224113031,138563421596850
2017-02-28,5149.95,5171.05,5114.12,5155.26,13592548,505798071281,138534956435160
2017-03-02,5167.24,5183.48,5104.3,5110.18,13586743,671492750085,137401850935270
2017-03-03,5043.98,5043.98,4925.77,4931.89,14073015,822747734625,132478996021880
2017-03-06,4904.82,4938.73,4824.87,4920.0,10956124,750251164392,132199626224365
2017-03-07,4932.73,4996.03,4922.83,4977.47,9090389,507349127881,133756485984030
2017-03-08,4958.46,4985.94,4945.47,4983.05,10420380,481711661315,133825320620220
2017-03-09,4982.62,4999.93,4962.22,4964.46,13002042,500117710673,133339204376795
2017-03-10,4974.57,4997.51,4930.02,4954.13,11832183,559847858053,133070238686250
2017-03-13,4975.02,5029.59,4969.1,4997.25,16115658,571545759532,134239634376575
2017-03-14,5041.11,5045.62,5006.16,5015.55,12711995,552522562437,134748336716170
2017-03-15,5022.76,5030.35,4996.88,5009.49,10927046,386048099780,134611149562755
2017-03-16,5069.38,5108.01,5018.12,5044.47,12018109,500805373541,135560432628195
2017-03-17,5054.58,5087.5,5041.02,5083.1,12422702,445044938135,136639588579880
2017-03-20,5086.48,5086.48,5035.85,5054.5,9127135,338537013644,135817418765940
2017-03-21,5089.91,5116.42,5089.16,5104.34,11647354,516399869061,137242731808285
2017-03-22,5084.45,5086.39,5034.39,5052.62,12593362,537877244685,135802941170135
2017-03-23,5068.83,5109.54,5050.68,5052.03,12617267,516996523849,135801399663865
2017-03-24,5089.03,5109.69,5065.39,5082.5,17792383,521863831802,136608479371760
2017-03-27,5075.21,5089.04,5034.82,5041.83,14559498,454284379388,135520612709905
2017-03-28,5071.82,5143.77,5066.33,5140.42,14841058,585174948103,138150937761050
2017-03-29,5170.22,5170.22,5130.24,5167.36,12699775,661408215486,138881786286530
2017-03-30,5165.41,5183.12,5130.36,5140.14,18448124,630406554010,138139217990180
2017-03-31,5157.88,5185.4,5145.36,5145.46,12516347,497493875748,138319727040310
2017-04-03,5164.06,5171.34,5135.62,5146.85,9863186,467606011593,138376118997165
2017-04-04,5136.41,5147.01,5082.62,5085.0,11436424,482765576345,136727180649485
2017-04-05,5107.32,5139.5,5040.85,5072.62,11398558,530732501498,136437128917465
2017-04-06,5043.52,5083.23,5037.88,5065.75,9253567,373179521044,136251686120310
2017-04-07,5078.26,5083.19,5043.9,5056.16,13003665,393980680489,135995198332885
2017-04-10,5033.6,5033.6,4960.09,4974.42,10598259,412045646068,133758817081515
2017-04-11,4973.35,5020.9,4957.44,4978.67,10215021,367153847320,133895762393590
2017-04-12,4991.49,5001.48,4978.42,5000.18,10643970,326567321431,134454433117735
2017-04-13,4999.53,4999.53,4965.8,4983.5,9676959,491358022770,133939818834270
2017-04-14,4972.02,4994.47,4955.88,4972.51,7533774,263087591075,133638954880875
2017-04-17,5007.39,5069.63,5005.93,5056.79,8272667,387808311101,136002678553520
