시가,고가,저가,종가,거래량,거래대금,상장시가총액
6241.03,6274.09,6198.49,6238.51,38463929,950758580988,205053212405880
6262.35,6370.69,6243.86,6366.98,42411482,1382063419403,209201310744590
6373.07,6385.19,6311.27,6354.3,37317580,1542484924445,208786261420200
6300.02,6400.24,6290.13,6372.43,39377572,1513887082732,209421240873385
6427.03,6547.97,6395.36,6539.92,29191635,1702148983572,214864457899875
6519.82,6533.75,6365.99,6408.43,41962043,1794567108857,210488725768315
6390.24,6444.74,6288.23,6360.84,31641459,1447447301579,208982514874290
6453.87,6599.39,6453.87,6599.36,43962962,1883904421753,216783396999515
6604.12,6610.73,6546.27,6572.27,30945471,1585058206506,215887731925854
6495.26,6535.5,6418.79,6430.44,33130588,1209954448998,211236615837836
6422.25,6476.55,6307.05,6347.27,38304856,1234669611811,208470511295025
6385.32,6406.2,6269.52,6286.75,41511352,1193305380518,206554313732065
6263.78,6287.27,6120.62,6162.82,36028182,1386540513872,202529283936770
6161.07,6310.04,6125.31,6310.04,22391722,1201203807168,207371282189962
6261.92,6282.41,6177.75,6216.96,34140244,1196541433601,204449741639895
6194.78,6194.78,6021.36,6061.61,27342751,968584965421,199359972979825
6024.37,6037.69,5789.17,5826.55,68420663,1341977551257,191700677639660
5889.52,5949.49,5842.73,5888.6,38357561,1099070084483,193724096187906
5888.6,5910.82,5585.28,5586.38,31173966,1659286811421,183830218051959
5644.86,5764.54,5557.33,5745.19,28826201,1529486375385,189079133679220
5888.12,5951.23,5868.43,5877.27,21925521,970314647366,193370466706201
5899.18,5991.88,5882.88,5989.06,26804357,894305070402,197011802326098
5996.47,5996.47,5876.41,5886.15,22270113,927039230857,193656915118746
5909.23,5956.65,5757.37,5793.3,25941250,1383780753249,190624172428775
5842.99,5878.23,5800.56,5866.35,21267298,1126461197211,193042865566441
5913.31,6015.76,5909.36,5999.94,20433570,1493777304294,197484718943315
5896.99,5960.02,5868.38,5868.62,23292271,1026388203896,193233594887254
5802.93,5855.39,5743.91,5770.05,50887565,872884568960,190020133955655
5806.19,5846.62,5710.12,5721.52,43788150,1201527034237,188419934646286
5839.53,5898.97,5802.48,5873.95,20441419,922382849876,193335081003078
5880.25,6006.75,5838.38,5916.74,36101084,1346156006151,194777786556522
5864.89,5955.75,5857.89,5932.25,37712081,1057658385471,195286161989146
5839.21,5908.85,5782.71,5891.73,138243017,1025461688280,193949235929500
5783.77,5826.55,5734.45,5749.38,150293133,1249152925541,189288746894840
5796.36,5806.57,5725.84,5767.67,58735231,891328753756,189792173328294
5695.47,5737.57,5558.52,5584.4,187642462,1502253289441,183766607733828
5666.3,5693.43,5622.09,5657.36,108352698,1223313855982,186093634397511
5646.52,5729.73,5605.47,5721.53,42686184,936609936122,188133353273702
5735.06,5780.42,5716.22,5758.14,61455772,1271504388151,189331000858405
5826.5,5839.51,5795.67,5809.23,53800005,1141233465438,191025074328663
5790.97,5794.23,5707.37,5726.88,45482480,1018028226389,188329751141975
5716.62,5716.62,5544.7,5593.73,58941277,1316180343816,183948849141244
5523.66,5591.08,5487.25,5487.25,50590751,1101965887442,180483390883634
5538.45,5592.38,5477.35,5506.16,41128377,1349710267623,181154755394559
5486.02,5513.38,5387.38,5413.11,34919075,1198978018439,178147637791273
5381.89,5383.67,5278.14,5279.35,28101209,1195065941740,173799820095957
5223.53,5250.96,5163.42,5172.8,22447463,957454372256,170320328179684
5227.94,5270.71,5197.56,5269.78,21880347,836986653314,173461730101761
5374.84,5411.88,5360.37,5378.6,29660189,1248368887498,177076832435059
5399.42,5418.72,5366.59,5408.63,23491510,1005292846208,178006717424146
5448.37,5491.22,5436.51,5456.3,33478860,899081464052,179551203890344
5477.44,5516.35,5475.46,5514.57,31912767,811128102827,181442771970161
5545.33,5576.45,5524.67,5571.15,46843287,995679862501,183306130875616
5580.74,5628.35,5552.28,5628.35,42054820,1041160310261,185202851886074
