rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분,bfefrmtrm_nm,bfefrmtrm_amount
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 65 기 1분기말,284013983017,제 64 기말,268968494534,1,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 65 기 1분기말,23191700140,제 64 기말,3424424657,2,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 65 기 1분기말,48259550505,제 64 기말,45582090957,3,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,제 65 기 1분기말,31573825749,제 64 기말,31529000422,4,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,dart_ShortTermAdvancePayments,선급금,-,제 65 기 1분기말,344849706,제 64 기말,1731957450,5,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,dart_ShortTermPrepaidExpenses,선급비용,-,제 65 기 1분기말,520001998,제 64 기말,923648254,6,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 65 기 1분기말,180124035789,제 64 기말,185777356884,7,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 65 기 1분기말,19130,제 64 기말,15910,8,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 65 기 1분기말,166173236355,제 64 기말,164786982246,9,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,비유동매출채권및기타채권,-,제 65 기 1분기말,104523000,제 64 기말,104523000,10,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,제 65 기 1분기말,570280000,제 64 기말,210280000,11,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 65 기 1분기말,153258900055,제 64 기말,152307567331,12,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 65 기 1분기말,9815250875,제 64 기말,9740351504,13,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 65 기 1분기말,1441431224,제 64 기말,1446530715,14,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 65 기 1분기말,982851201,제 64 기말,977729696,15,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 65 기 1분기말,450187219372,제 64 기말,433755476780,16,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 65 기 1분기말,281205535690,제 64 기말,275477139063,18,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 65 기 1분기말,37619703984,제 64 기말,64142968567,19,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 65 기 1분기말,240546818602,제 64 기말,207985792626,20,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 65 기 1분기말,1467102000,제 64 기말,1217642000,21,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,dart_ShortTermAdvancesCustomers,선수금,-,제 65 기 1분기말,27510359,제 64 기말,86463271,22,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 65 기 1분기말,519651547,제 64 기말,731223107,23,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 65 기 1분기말,4710515,제 64 기말,4710515,24,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동성리스부채,-,제 65 기 1분기말,195583935,제 64 기말,179384229,25,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 65 기 1분기말,824454748,제 64 기말,1128954748,26,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 65 기 1분기말,24334376481,제 64 기말,4093192810,27,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 65 기 1분기말,22682352649,제 64 기말,3003452649,28,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 65 기 1분기말,920284579,제 64 기말,357504183,29,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_NoncurrentProvisionsForEmployeeBenefits,비유동종업원급여충당부채,-,제 65 기 1분기말,115082448,제 64 기말,132301588,30,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,리스부채,-,제 65 기 1분기말,175668813,제 64 기말,151206579,31,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 65 기 1분기말,440987992,제 64 기말,448727811,32,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 65 기 1분기말,305539912171,제 64 기말,279570331873,33,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 65 기 1분기말,144647307201,제 64 기말,154185144907,35,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 65 기 1분기말,3000000000,제 64 기말,3000000000,36,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,제 65 기 1분기말,141647307201,제 64 기말,151185144907,37,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 65 기 1분기말,144647307201,제 64 기말,154185144907,38,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 65 기 1분기말,450187219372,제 64 기말,433755476780,39,KRW,,,,,연결,,
20230515000448,11013,2023,00149345,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 65 기 1분기,100920835325,,,0,KRW,100920835325,제 64 기 1분기,65395204816,65395204816,연결,,
