rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,연결구분
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 58 기,203694823410,제 57 기,154051792047,제 56 기,162922428016,1,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 58 기,22432677773,제 57 기,26080765718,제 56 기,28136364514,2,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 58 기,81322237198,제 57 기,58584665754,제 56 기,50561743400,3,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 58 기,0,제 57 기,0,제 56 기,49700000,4,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 58 기,1117547859,제 57 기,734302882,제 56 기,1050582878,5,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 58 기,98822360580,제 57 기,68652057693,제 56 기,83124037224,6,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 58 기,240332760457,제 57 기,224148538326,제 56 기,224692631756,7,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업투자주식,-,제 58 기,6359652270,제 57 기,6074282734,제 56 기,5837138366,8,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 58 기,2648252030,제 57 기,2122115162,제 56 기,2821344040,9,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 58 기,262627860,제 57 기,235544860,제 56 기,235544860,10,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 58 기,227393887655,제 57 기,212486022374,제 56 기,212269280842,11,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 58 기,0,제 57 기,0,제 56 기,874147092,12,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 58 기,558655335,제 57 기,0,제 56 기,0,13,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,dart_OtherIntangibleAssetsGross,무형자산,-,제 58 기,1160265431,제 57 기,1160265431,제 56 기,1160265431,14,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,dart_InvestedAssetForPostemploymentBenefit,순확정급여자산,-,제 58 기,606818653,제 57 기,0,제 56 기,0,15,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 58 기,1342601223,제 57 기,2070307765,제 56 기,1494911125,16,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 58 기,444027583867,제 57 기,378200330373,제 56 기,387615059772,17,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 58 기,188140072661,제 57 기,117106846744,제 56 기,118202668016,19,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 58 기,56352173367,제 57 기,47290714665,제 56 기,33576700981,20,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_CurrentContractLiabilities,계약부채,-,제 58 기,313330000,제 57 기,0,제 56 기,0,21,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 58 기,94000000000,제 57 기,53000000000,제 56 기,53596860000,22,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,제 58 기,25797700000,제 57 기,6250000000,제 56 기,22500000000,23,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 58 기,8680946938,제 57 기,7245917384,제 56 기,5807329397,24,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 58 기,838114877,제 57 기,1281787108,제 56 기,1318861662,25,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,dart_CurrentProvisionsForProductWarranties,충당부채,-,제 58 기,32826319,제 57 기,216678319,제 56 기,387664367,26,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 58 기,2124981160,제 57 기,1821749268,제 56 기,1015251609,27,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 58 기,45178610727,제 57 기,63701881676,제 56 기,79436800954,28,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 58 기,43000000000,제 57 기,59953600000,제 56 기,74563900000,29,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 58 기,943781902,제 57 기,541000000,제 56 기,705000000,30,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,dart_PostemploymentBenefitObligations,확정급여부채,-,제 58 기,0,제 57 기,2307571877,제 56 기,3413601047,31,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_NoncurrentProvisionsForEmployeeBenefits,기타장기종업원급여부채,-,제 58 기,1234828825,제 57 기,899709799,제 56 기,754299907,32,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 58 기,233318683388,제 57 기,180808728420,제 56 기,197639468970,33,KRW,,연결
20230316001338,11011,2022,00127802,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 58 기,210708900479,제 57 기,197391601953,제 56 기,189975590802,35,KRW,,연결
