rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,연결구분
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 55 기,829788527234,제 54 기,780569046384,1,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 55 기,201029551402,제 54 기,174682440219,2,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 55 기,4452495400,제 54 기,18110844741,3,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 55 기,303258426788,제 54 기,337896718968,4,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_ReceivablesOnConstructionContracts,미청구공사,-,제 55 기,68572254140,제 54 기,39301946191,5,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 55 기,184273902304,제 54 기,150532956985,6,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,-,제 55 기,39841198227,제 54 기,31552703172,7,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 55 기,27850267187,제 54 기,28491436108,8,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 55 기,510431786,제 54 기,,9,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 55 기,1761761303323,제 54 기,1894823777612,10,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 55 기,9000000,제 54 기,1338195400,11,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,-,제 55 기,594949139,제 54 기,570202841,12,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 55 기,1486011733741,제 54 기,1451249243971,14,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 55 기,115339316146,제 54 기,106708034658,15,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 55 기,9502774822,제 54 기,8320561901,16,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 55 기,66590552699,제 54 기,78960883511,17,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 55 기,42927526914,제 54 기,41996849524,18,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 55 기,1654867826,제 54 기,695590866,19,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 55 기,39130582036,제 54 기,6061358723,20,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,-표준계정코드 미사용-,매각예정비유동자산,-,제 55 기,,제 54 기,198922856217,21,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 55 기,2591549830557,제 54 기,2675392823996,22,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 55 기,1115766791036,제 54 기,1385618235356,24,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 55 기,320243672842,제 54 기,332906805436,25,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_AdvancesOnConstructionContracts,초과청구공사,-,제 55 기,36653674827,제 54 기,117355908914,26,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금및사채,-,제 55 기,616952845979,제 54 기,809359874662,27,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타금융부채,-,제 55 기,5727923760,제 54 기,4294706277,28,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 55 기,51089624472,제 54 기,9733397764,29,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동리스부채,-,제 55 기,5677208948,제 54 기,5493712954,30,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 55 기,19318324658,제 54 기,98462995023,31,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 55 기,60103515550,제 54 기,8010834326,32,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 55 기,736366323168,제 54 기,611974934493,33,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,-,제 55 기,44000000,제 54 기,227726271,34,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금및사채,-,제 55 기,625982325457,제 54 기,489486937631,35,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 55 기,1190277015,제 54 기,648746397,36,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 55 기,1414642358,제 54 기,1069448900,37,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_NoncurrentProvisions,비유동충당부채,-,제 55 기,28191740087,제 54 기,28032071768,38,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,-,제 55 기,66516998658,제 54 기,77358693434,39,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 55 기,13026339593,제 54 기,15151310092,40,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 55 기,1852133114204,제 54 기,1997593169849,41,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 55 기,599774752159,제 54 기,572454060144,43,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 55 기,73385020000,제 54 기,73385020000,44,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 55 기,426480363845,제 54 기,426461387778,45,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 55 기,-30143282898,제 54 기,-20401732398,46,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 55 기,-489763423,제 54 기,264568470,47,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 55 기,130542414635,제 54 기,92744816294,48,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 55 기,139641964194,제 54 기,105345594003,49,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 55 기,739416716353,제 54 기,677799654147,50,KRW,,연결
20220812000745,11011,2021,00125150,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 55 기,2591549830557,제 54 기,2675392823996,51,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 55 기,1898386809603,제 54 기,106548366582,0,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 55 기,1642284040843,제 54 기,93008512997,1,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 55 기,256102768760,제 54 기,13539853585,2,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 55 기,103864545365,제 54 기,6522624278,3,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 55 기,152238223395,제 54 기,7017229307,4,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 55 기,9072698059,제 54 기,767575115,5,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융원가,-,제 55 기,35210789742,제 54 기,5518591317,6,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,dart_OtherGains,기타영업외수익,-,제 55 기,14538210020,제 54 기,36104239917,7,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,dart_OtherLosses,기타영업외비용,-,제 55 기,8485223221,제 54 기,21894016931,8,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,관계기업투자이익,-,제 55 기,,제 54 기,37873208583,9,KRW,,연결
20220812000745,11011,2021,00125150,CIS,포괄손익계산서,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,관계기업투자손실,-,제 55 기,,제 54 기,20569886997,10,KRW,,연결
