rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분
20241114002981,11014,2024,00186559,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 42 기 3분기말,548169460701,제 41 기말,525378184898,7,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 42 기 3분기말,408662996569,제 41 기말,418131406029,8,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권및기타수취채권,-,제 42 기 3분기말,162671631359,제 41 기말,177497495868,9,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,-표준계정코드 미사용-,파생상품자산,-,제 42 기 3분기말,14123499,제 41 기말,,10,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치측정금융자산,-,제 42 기 3분기말,,제 41 기말,2299940097,11,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,-표준계정코드 미사용-,기타자산,-,제 42 기 3분기말,47500539134,제 41 기말,11391379823,12,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치금융자산,-,제 42 기 3분기말,,제 41 기말,3066229951,13,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,-표준계정코드 미사용-,기타금융자산,-,제 42 기 3분기말,15729420598,제 41 기말,19456725909,14,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 42 기 3분기말,72508515072,제 41 기말,100093487553,15,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 42 기 3분기말,451745342,제 41 기말,989645062,16,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 42 기 3분기말,96401752863,제 41 기말,84644657944,17,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 42 기 3분기말,13385268702,제 41 기말,18691843822,18,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 42 기 3분기말,139506464132,제 41 기말,107246778869,19,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 42 기 3분기말,5012421,제 41 기말,5012179,20,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,dart_OtherIntangibleAssetsGross,무형자산,-,제 42 기 3분기말,24070252293,제 41 기말,24806004793,21,KRW,,,,,연결
20241114002981,11014,2024,00186559,BS,재무상태표,-표준계정코드 미사용-,상각후원가측정금융자산,-,제 42 기 3분기말,735000,제 41 기말,,22,KRW,,,,,연결
