rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_nm,bfefrmtrm_amount,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 16 기 1분기말,5322208229279,제 15 기말,5297123640656,7,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 16 기 1분기말,3366942916496,제 15 기말,3346930108724,8,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 16 기 1분기말,986423026842,제 15 기말,896394078489,9,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_CurrentDerivativeFinancialAssets,파생상품자산,-,제 16 기 1분기말,13140680834,제 15 기말,8039634600,10,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 16 기 1분기말,12118970241,제 15 기말,12074485682,11,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_CurrentTradeReceivables,매출채권,-,제 16 기 1분기말,445441887542,제 15 기말,490791336546,12,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 16 기 1분기말,1349132427891,제 15 기말,1329162228700,13,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 16 기 1분기말,98083424347,제 15 기말,72074319608,14,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_OtherCurrentReceivables,기타수취채권,-,제 16 기 1분기말,61065886969,제 15 기말,59922902526,15,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 16 기 1분기말,401536611830,제 15 기말,478471122573,16,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 16 기 1분기말,1955265312783,제 15 기말,1950193531932,17,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 16 기 1분기말,22701256480,제 15 기말,24069080344,18,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,-,제 16 기 1분기말,191260968815,제 15 기말,194637975570,19,KRW,제 14 기,178823036000,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업 및 공동기업투자주식,-,제 16 기 1분기말,53291191952,제 15 기말,51012249852,20,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 16 기 1분기말,278040979762,제 15 기말,290737441845,21,KRW,제 14 기,215993332000,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_LongtermDeposits,장기금융상품,-,제 16 기 1분기말,1310700954,제 15 기말,609606880,22,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치 측정 금융자산,-,제 16 기 1분기말,4763696310,제 15 기말,4864448520,23,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 금융자산,-,제 16 기 1분기말,392776776373,제 15 기말,418809025841,24,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_OtherNoncurrentAssets,기타비유동자산,-,제 16 기 1분기말,4598109946,제 15 기말,4066076868,25,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_OtherNoncurrentReceivables,기타수취채권,-,제 16 기 1분기말,21388703156,제 15 기말,23111097493,26,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 16 기 1분기말,860563048392,제 15 기말,810535582490,27,KRW,제 14 기,712901101000,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 16 기 1분기말,124569880643,제 15 기말,127740946229,28,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 16 기 1분기말,3607796021388,제 15 기말,3587970520506,30,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업지분,-,제 16 기 1분기말,3294134032630,제 15 기말,3246664286850,31,KRW,,,,,,,연결
20240516000786,11013,2024,00776820,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본항목,-,제 16 기 1분기말,78086940041,제 15 기말,58715464524,32,KRW,,,,,,,연결
